Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-08-04T16:04:10.740Z,47,17,32,23,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,47,17,32,24,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,47,17,32,29,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,47,17,32,29,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,47,18,34,29,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,47,18,34,31,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,47,18,34,31,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,47,18,34,32,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,47,18,34,32,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,47,18,34,32,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,47,<15,27,23,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,47,<15,25,25,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,47,<15,23,25,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,47,<15,21,26,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,47,<15,21,26,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,47,<15,21,24,0,,,,,,,,,,
2020-08-09T07:14:20.263Z,47,<15,21,24,0,,,,,,,,,,
2020-08-09T16:06:33.187Z,47,<15,21,24,0,,,,,,,,,,
2020-08-09T19:26:37.877Z,47,<15,21,24,0,,,,,,,,,,
2020-08-10T07:20:10.150Z,47,<15,21,22,0,,,,,,,,,,
2020-08-10T15:48:14.683Z,47,<15,21,22,0,,,,,,,,,,
2020-08-10T19:33:40.523Z,47,<15,23,22,0,,,,,,,,,,
2020-08-11T03:33:09.120Z,47,<15,21,21,0,,,,,,,,,,
2020-08-11T07:23:01.417Z,47,<15,19,22,0,,,,,,,,,,
2020-08-11T16:01:33.767Z,46,<15,17,27,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,46,<15,17,33,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,46,<15,17,27,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,46,<15,17,27,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,46,<15,17,29,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,46,<15,17,30,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,46,<15,17,26,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,46,<15,17,26,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,46,<15,15,31,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,46,<15,15,32,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,46,<15,10,30,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,48,<15,13,30,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,48,<15,13,31,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,49,<15,15,32,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,49,<15,15,32,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,49,<15,15,30,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,49,<15,15,30,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,49,<15,15,31,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,49,<15,15,25,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,48,<15,13,32,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,48,<15,13,34,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,48,<15,13,29,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,47,<15,11,29,1-5,,,,,,,,,,
2021-02-05T07:18:48.910Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-05T12:40:20.710Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-06T15:19:27.617Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-06T18:59:46.357Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-07T03:48:16.773Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-07T07:57:08.960Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-07T18:09:40.503Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-07T19:32:15.430Z,<15,<15,3,2,  1-5  ,,,,,,,,,,
2021-02-08T04:02:11.827Z,<15,<15,3,2,  1-5  ,,,,,,,,,,
2021-02-08T08:06:55.437Z,<15,<15,3,2,  1-5  ,,,,,,,,,,
2021-02-08T16:18:44.307Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-09T07:17:15.457Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-09T16:37:31.400Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-09T19:30:02.767Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-10T06:56:49.800Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-10T16:21:14.940Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-10T20:23:21.013Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-11T06:22:53.990Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-11T07:43:32.680Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
2021-02-11T16:13:16.903Z,<15,<15,2,1,  1-5  ,,,,,,,,,,
