Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,<15,<15,,218,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,<15,<15,,223,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,<15,<15,,227,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,<15,<15,,228,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,<15,<15,,229,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,232,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,234,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,<15,<15,,253,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,<15,<15,,259,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,<15,<15,,54,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,<15,<15,,54,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,16,<15,,22,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,17,<15,27,27,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,17,<15,0,27,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,18,<15,32,31,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,18,<15,32,31,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,18,<15,32,23,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,18,<15,32,24,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,18,<15,32,24,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,18,<15,32,26,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,18,<15,32,23,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,18,<15,32,23,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,18,<15,23,27,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,18,<15,23,28,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,18,<15,23,28,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,18,<15,23,31,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,18,<15,23,32,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,18,<15,18,32,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,18,<15,18,32,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,18,<15,18,31,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,18,<15,18,31,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,18,<15,18,31,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,18,<15,18,32,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,18,<15,18,22,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,19,<15,23,23,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,20,<15,27,24,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,20,<15,27,25,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,21,<15,32,21,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,22,<15,36,23,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,24,<15,45,25,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,24,<15,45,28,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,28,<15,63,33,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,28,<15,63,33,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,28,<15,63,42,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,28,<15,63,43,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,28,<15,63,39,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,29,15,68,42,11-14,,,,,,,,,,
2020-08-06T15:55:31.993Z,31,17,77,44,11-14,,,,,,,,,,
2020-08-06T19:15:44.523Z,32,18,81,49,11-14,,,,,,,,,,
2020-08-07T03:46:04.500Z,32,18,81,48,11-14,,,,,,,,,,
2020-08-07T08:10:09.393Z,34,20,90,52,16,,,,,,,,,,
2020-08-07T14:40:50.180Z,35,21,95,62,17,,,,,,,,,,
2020-08-08T16:45:50.553Z,38,23,104,81,20,,,,,,,,,,
2020-08-08T19:27:22.153Z,38,23,104,81,20,,,,,,,,,,
2020-08-09T04:06:23.703Z,38,22,99,81,20,,,,,,,,,,
2020-08-09T07:14:20.263Z,38,22,99,82,20,,,,,,,,,,
2020-08-09T16:06:33.187Z,38,22,99,83,20,,,,,,,,,,
2020-08-09T19:26:37.877Z,40,24,108,88,22,,,,,,,,,,
2020-08-10T07:20:10.150Z,40,24,108,89,19,,,,,,,,,,
2020-08-10T15:48:14.683Z,40,24,108,92,19,,,,,,,,,,
2020-08-10T19:33:40.523Z,42,26,118,99,21,,,,,,,,,,
2020-08-11T03:33:09.120Z,43,27,122,87,15,,,,,,,,,,
2020-08-11T07:23:01.417Z,43,27,122,87,15,,,,,,,,,,
2020-08-11T16:01:33.767Z,44,28,127,92,16,,,,,,,,,,
2020-08-11T19:11:26.837Z,52,36,163,107,24,,,,,,,,,,
2020-08-12T03:47:07.760Z,52,35,158,97,24,,,,,,,,,,
2020-08-12T07:25:05.527Z,52,35,158,97,24,,,,,,,,,,
2020-08-12T15:17:58.400Z,53,36,163,99,25,,,,,,,,,,
2020-08-12T19:11:10.037Z,53,36,163,102,25,,,,,,,,,,
2020-08-13T03:25:43.083Z,53,35,158,92,21,,,,,,,,,,
2020-08-13T07:09:54.410Z,53,35,158,92,21,,,,,,,,,,
2020-08-13T16:00:11.437Z,53,35,158,103,21,,,,,,,,,,
2020-08-13T19:08:43.847Z,54,36,163,108,22,,,,,,,,,,
2020-08-14T04:07:12.977Z,54,35,158,94,19,,,,,,,,,,
2020-08-14T07:09:23.630Z,54,35,158,94,19,,,,,,,,,,
2020-08-14T14:40:20.690Z,54,33,149,111,19,,,,,,,,,,
2020-08-15T17:25:39.157Z,55,33,149,97,18,,,,,,,,,,
2020-08-15T19:20:16.850Z,55,33,149,97,18,,,,,,,,,,
2020-08-16T03:40:33.850Z,55,32,145,85,15,,,,,,,,,,
2020-08-16T07:05:21.820Z,55,32,145,87,15,,,,,,,,,,
2020-08-16T15:53:14.997Z,55,31,140,87,15,,,,,,,,,,
2020-08-17T07:41:16.500Z,55,30,136,75,11-14,,,,,,,,,,
2020-08-17T15:51:53.560Z,56,30,136,79,11-14,,,,,,,,,,
2020-08-17T19:45:07.133Z,56,30,136,82,11-14,,,,,,,,,,
2020-08-18T03:43:43.340Z,56,27,122,58,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,56,27,122,58,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,54,25,113,54,0,,,,,,,,,,
2020-08-18T18:55:23.410Z,54,25,113,57,0,,,,,,,,,,
2020-08-19T04:45:32.057Z,57,25,113,58,1-5,,,,,,,,,,
2020-08-19T07:38:12.840Z,58,25,113,58,1-5,,,,,,,,,,
2020-08-19T17:09:53.377Z,58,25,113,62,1-5,,,,,,,,,,
2020-08-19T19:17:48.483Z,58,25,113,62,1-5,,,,,,,,,,
2020-08-20T04:10:29.010Z,58,24,108,48,1-5,,,,,,,,,,
2020-08-20T07:18:04.130Z,58,24,108,48,1-5,,,,,,,,,,
2020-08-20T15:31:52.293Z,58,23,104,49,1-5,,,,,,,,,,
2020-08-20T20:06:10.983Z,58,23,104,49,1-5,,,,,,,,,,
2020-08-21T14:16:16.233Z,59,15,68,32,1-5,,,,,,,,,,
2020-08-22T16:59:01.583Z,60,<15,59,33,1-5,,,,,,,,,,
2020-08-22T19:30:43.107Z,60,<15,59,33,1-5,,,,,,,,,,
2020-08-23T03:21:42.033Z,60,<15,59,28,1-5,,,,,,,,,,
2020-08-23T07:36:27.623Z,60,<15,59,28,1-5,,,,,,,,,,
2020-08-23T16:06:03.420Z,60,<15,59,29,1-5,,,,,,,,,,
2020-08-23T19:24:52.200Z,60,<15,59,30,1-5,,,,,,,,,,
2020-08-24T03:42:44.113Z,60,<15,59,24,1-5,,,,,,,,,,
2020-08-24T06:59:28.390Z,60,<15,59,24,1-5,,,,,,,,,,
2020-08-24T15:46:46.347Z,60,<15,54,25,1-5,,,,,,,,,,
2020-08-24T19:04:20.180Z,60,<15,54,25,1-5,,,,,,,,,,
2020-08-25T04:04:12.517Z,60,<15,50,22,1-5,,,,,,,,,,
2020-08-25T07:23:14.767Z,60,<15,50,21,1-5,,,,,,,,,,
2020-08-25T15:24:02.787Z,60,<15,50,23,1-5,,,,,,,,,,
2020-08-25T18:55:55.140Z,60,<15,50,23,1-5,,,,,,,,,,
2020-08-26T03:18:59.150Z,60,<15,36,20,1-5,,,,,,,,,,
2020-08-26T07:35:29.937Z,60,<15,36,20,1-5,,,,,,,,,,
2020-08-26T19:35:18.907Z,60,<15,36,22,1-5,,,,,,,,,,
2020-08-27T04:08:48.710Z,60,<15,36,22,1-5,,,,,,,,,,
2020-08-27T07:26:57.270Z,60,<15,36,22,1-5,,,,,,,,,,
2020-08-27T16:50:40.630Z,60,<15,36,24,1-5,,,,,,,,,,
2020-08-27T18:51:47.520Z,60,<15,36,25,1-5,,,,,,,,,,
2020-08-28T08:08:31.860Z,60,<15,36,22,0,,,,,,,,,,
2020-08-28T14:24:05.103Z,60,<15,36,22,0,,,,,,,,,,
2020-08-29T17:06:08.920Z,61,<15,41,23,1-5,,,,,,,,,,
2020-08-29T19:08:02.117Z,61,<15,41,24,1-5,,,,,,,,,,
2020-08-30T04:31:21.867Z,61,<15,36,22,1-5,,,,,,,,,,
