Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,1072,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,1100,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,1105,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,1112,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,1112,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,1113,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,1112,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,1122,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,1124,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,1134,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,1147,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,1148,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,1153,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,1160,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,1188,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,1193,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,1212,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,1245,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,1251,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,1283,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,1288,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,1302,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,1305,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,1307,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,1320,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,1347,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,1358,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,1373,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,1394,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,1408,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,1419,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,1452,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,1472,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,1492,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,1558,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,1591,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,1591,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,1622,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,1692,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,1703,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,1719,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,1779,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,1797,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,1821,1078,,61478,450,,,,,,,,,,
2020-07-06T15:56:00.557Z,1881,1134,,62304,507,,,,,,,,,,
2020-07-07T05:00:26.417Z,1913,1156,,62895,493,,,,,,,,,,
2020-07-07T07:17:42.693Z,1915,1157,,62941,495,,,,,,,,,,
