Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,<15,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,<15,,,,,,,,,,,,,,
2020-07-09T07:16:21.100Z,<15,<15,,913,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,<15,<15,,915,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,<15,<15,,959,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,<15,<15,,961,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,<15,<15,,982,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,<15,<15,,994,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,15,<15,,113,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,15,<15,,103,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,15,<15,,109,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,15,<15,,123,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,15,<15,,105,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,17,<15,,127,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,19,<15,,133,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,20,15,,128,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,21,16,,137,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,21,16,,145,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,21,16,,127,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,21,15,,138,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,21,15,,139,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,21,15,,137,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,23,17,,145,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,23,17,,150,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,23,17,,124,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,23,17,,128,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,23,17,,130,<15,,,,,,,,,,
