Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-07-15T07:32:13.567Z,<15,<15,,113,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,<15,<15,,123,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,<15,<15,,125,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,<15,<15,,136,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,17,<15,,110,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,18,<15,,126,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,18,<15,,115,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,18,<15,,106,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,18,<15,,108,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,19,<15,,105,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,20,<15,12,103,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,20,<15,0,102,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,21,<15,13,111,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,21,<15,13,112,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,22,<15,14,89,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,22,<15,14,91,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,22,<15,14,99,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,22,<15,14,104,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,22,<15,14,90,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,22,<15,14,93,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,22,<15,12,102,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,22,<15,12,105,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,22,<15,11,95,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,22,<15,11,98,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,22,<15,11,100,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,22,<15,11,101,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,22,<15,11,103,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,22,<15,11,89,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,22,<15,11,91,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,23,<15,12,93,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,23,<15,12,98,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,23,<15,12,76,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,23,<15,12,79,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,22,<15,11,80,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,22,<15,11,83,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,22,<15,11,75,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,22,<15,11,78,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,22,<15,11,87,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,22,<15,11,89,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,22,<15,11,74,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,22,<15,11,76,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,22,<15,11,80,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,22,<15,11,84,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,22,<15,11,68,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,22,<15,11,71,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,22,<15,11,75,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,23,<15,12,77,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,23,<15,12,74,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,23,<15,12,77,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,24,<15,13,81,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,25,<15,14,82,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,25,<15,14,82,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,25,<15,14,72,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,25,<15,14,72,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,25,<15,14,79,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,25,<15,14,83,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,25,<15,12,74,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,25,<15,12,79,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,25,<15,12,81,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,25,<15,12,67,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,25,<15,12,67,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,25,<15,12,70,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,25,<15,12,73,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,25,<15,12,63,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,25,<15,12,67,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,25,<15,12,69,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,25,<15,12,70,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,25,<15,8,58,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,25,<15,8,58,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,25,<15,8,66,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,25,<15,8,66,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,25,<15,8,58,0,,,,,,,,,,
2020-08-14T07:09:23.630Z,25,<15,8,58,0,,,,,,,,,,
2020-08-14T14:40:20.690Z,26,<15,9,62,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,26,<15,9,71,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,26,<15,9,71,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,26,<15,9,58,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,26,<15,9,58,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,28,<15,11,64,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,28,<15,11,66,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,29,<15,12,82,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,29,<15,12,83,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,29,<15,12,84,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,29,<15,12,85,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,26,<15,9,82,1-5,,,,,,,,,,
2020-08-18T18:55:23.410Z,26,<15,9,82,1-5,,,,,,,,,,
2020-08-19T04:45:32.057Z,29,<15,12,91,1-5,,,,,,,,,,
2020-08-19T07:38:12.840Z,29,<15,12,91,1-5,,,,,,,,,,
2020-08-19T17:09:53.377Z,29,<15,11,101,1-5,,,,,,,,,,
2020-08-19T19:17:48.483Z,29,<15,11,101,1-5,,,,,,,,,,
