Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-07-10T14:20:07.117Z,20,<15,,489,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,22,<15,,515,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,24,<15,,56,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,24,<15,,58,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,24,<15,,61,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,24,<15,,61,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,25,<15,,58,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,26,<15,,71,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,26,<15,,74,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,26,<15,,68,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,27,<15,,71,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,27,<15,,74,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,27,<15,,64,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,28,<15,,66,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,28,<15,,68,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,28,<15,,59,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,28,<15,,64,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,29,15,,66,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,29,15,,57,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,29,15,,60,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,29,15,,61,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,30,16,,55,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,30,16,,62,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,30,16,,63,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,30,16,,43,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,30,15,,48,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,30,15,,44,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,30,15,,44,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,30,15,,37,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,30,15,,39,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,30,15,,42,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,30,15,,39,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,30,<15,25,39,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,30,<15,0,38,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,32,16,28,45,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,32,16,28,48,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,32,16,28,44,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,32,16,28,45,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,33,17,30,48,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,33,17,30,55,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,33,<15,21,49,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,37,16,28,57,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,38,<15,25,60,6-10,,,,,,,,,,
2020-07-30T19:25:51.573Z,38,<15,25,61,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,38,<15,25,55,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,38,<15,25,58,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,38,<15,25,61,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,39,15,26,65,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,39,15,26,68,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,39,15,26,64,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,39,15,26,64,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,39,15,26,64,6-10,,,,,,,,,,
2020-08-02T19:40:45.250Z,40,16,28,66,6-10,,,,,,,,,,
2020-08-03T04:12:58.747Z,40,<15,25,62,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,40,<15,25,64,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,42,16,28,68,11-14,,,,,,,,,,
2020-08-03T19:19:51.413Z,41,15,26,69,11-14,,,,,,,,,,
2020-08-04T04:24:01.137Z,41,15,26,56,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,41,15,26,59,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,41,15,26,69,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,41,15,26,69,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,41,15,26,54,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,41,15,26,54,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,41,15,26,55,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,41,15,26,57,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,41,15,26,46,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,41,15,26,47,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,41,15,26,49,1-5,,,,,,,,,,
2020-08-06T19:15:44.523Z,41,15,26,51,1-5,,,,,,,,,,
2020-08-07T03:46:04.500Z,41,15,26,41,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,42,16,28,46,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,43,17,30,52,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,43,16,28,49,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,43,16,28,49,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,43,16,28,46,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,43,16,28,46,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,43,16,28,46,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,43,16,28,46,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,43,15,26,40,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,43,15,26,45,1-5,,,,,,,,,,
2020-08-10T19:33:40.523Z,43,15,26,45,1-5,,,,,,,,,,
2020-08-11T03:33:09.120Z,43,15,26,35,1-5,,,,,,,,,,
2020-08-11T07:23:01.417Z,43,15,26,37,1-5,,,,,,,,,,
2020-08-11T16:01:33.767Z,43,15,26,39,1-5,,,,,,,,,,
2020-08-11T19:11:26.837Z,43,15,26,41,1-5,,,,,,,,,,
2020-08-12T03:47:07.760Z,43,15,26,38,1-5,,,,,,,,,,
2020-08-12T07:25:05.527Z,43,15,26,38,1-5,,,,,,,,,,
2020-08-12T15:17:58.400Z,43,15,26,43,1-5,,,,,,,,,,
2020-08-12T19:11:10.037Z,43,15,26,44,1-5,,,,,,,,,,
2020-08-13T03:25:43.083Z,43,<15,25,40,1-5,,,,,,,,,,
2020-08-13T07:09:54.410Z,43,<15,25,43,1-5,,,,,,,,,,
2020-08-13T16:00:11.437Z,43,<15,25,44,1-5,,,,,,,,,,
2020-08-13T19:08:43.847Z,43,<15,25,44,1-5,,,,,,,,,,
2020-08-14T04:07:12.977Z,43,<15,11,38,0,,,,,,,,,,
2020-08-14T07:09:23.630Z,43,<15,11,39,0,,,,,,,,,,
2020-08-14T14:40:20.690Z,43,<15,11,41,0,,,,,,,,,,
2020-08-15T17:25:39.157Z,43,<15,11,42,0,,,,,,,,,,
2020-08-15T19:20:16.850Z,43,<15,11,42,0,,,,,,,,,,
2020-08-16T03:40:33.850Z,43,<15,11,41,0,,,,,,,,,,
2020-08-16T07:05:21.820Z,43,<15,11,42,0,,,,,,,,,,
2020-08-16T15:53:14.997Z,43,<15,11,42,0,,,,,,,,,,
2020-08-17T07:41:16.500Z,43,<15,11,35,0,,,,,,,,,,
2020-08-17T15:51:53.560Z,43,<15,9,39,0,,,,,,,,,,
2020-08-17T19:45:07.133Z,43,<15,9,39,0,,,,,,,,,,
2020-08-18T03:43:43.340Z,43,<15,9,31,0,,,,,,,,,,
2020-08-18T07:12:06.963Z,43,<15,9,32,0,,,,,,,,,,
2020-08-18T16:09:29.920Z,43,<15,7,34,0,,,,,,,,,,
2020-08-18T18:55:23.410Z,43,<15,7,35,0,,,,,,,,,,
2020-08-19T04:45:32.057Z,43,<15,7,27,0,,,,,,,,,,
2020-08-19T07:38:12.840Z,43,<15,7,27,0,,,,,,,,,,
2020-08-19T17:09:53.377Z,43,<15,7,29,0,,,,,,,,,,
2020-08-19T19:17:48.483Z,43,<15,7,29,0,,,,,,,,,,
2020-08-20T04:10:29.010Z,43,<15,7,29,0,,,,,,,,,,
2020-08-20T07:18:04.130Z,43,<15,7,30,0,,,,,,,,,,
2020-08-20T15:31:52.293Z,43,<15,7,30,0,,,,,,,,,,
2020-08-20T20:06:10.983Z,43,<15,7,30,0,,,,,,,,,,
2020-08-21T14:16:16.233Z,43,<15,2,23,0,,,,,,,,,,
2020-08-22T16:59:01.583Z,43,<15,2,24,0,,,,,,,,,,
2020-08-22T19:30:43.107Z,43,<15,2,25,0,,,,,,,,,,
2020-08-23T03:21:42.033Z,43,<15,2,24,0,,,,,,,,,,
2020-08-23T07:36:27.623Z,43,<15,2,24,0,,,,,,,,,,
2020-08-23T16:06:03.420Z,43,<15,2,24,0,,,,,,,,,,
2020-08-23T19:24:52.200Z,43,<15,2,24,0,,,,,,,,,,
2020-08-24T03:42:44.113Z,44,<15,4,22,1-5,,,,,,,,,,
2020-08-24T06:59:28.390Z,44,<15,4,22,1-5,,,,,,,,,,
2020-08-24T15:46:46.347Z,45,<15,5,29,1-5,,,,,,,,,,
2020-08-24T19:04:20.180Z,45,<15,5,32,1-5,,,,,,,,,,
2020-08-25T04:04:12.517Z,46,<15,7,52,1-5,,,,,,,,,,
2020-08-25T07:23:14.767Z,46,<15,7,53,1-5,,,,,,,,,,
2020-08-25T15:24:02.787Z,46,<15,7,60,1-5,,,,,,,,,,
2020-08-25T18:55:55.140Z,46,<15,7,63,1-5,,,,,,,,,,
2020-08-26T03:18:59.150Z,46,<15,5,58,1-5,,,,,,,,,,
2020-08-26T07:35:29.937Z,47,<15,7,63,1-5,,,,,,,,,,
2020-08-26T19:35:18.907Z,47,<15,7,74,1-5,,,,,,,,,,
2020-08-27T04:08:48.710Z,47,<15,7,76,1-5,,,,,,,,,,
2020-08-27T07:26:57.270Z,47,<15,7,76,1-5,,,,,,,,,,
2020-08-27T16:50:40.630Z,48,<15,9,88,1-5,,,,,,,,,,
2020-08-27T18:51:47.520Z,48,<15,9,88,1-5,,,,,,,,,,
2020-08-28T08:08:31.860Z,48,<15,9,88,1-5,,,,,,,,,,
2020-08-28T14:24:05.103Z,48,<15,9,92,1-5,,,,,,,,,,
2020-08-29T17:06:08.920Z,48,<15,9,98,1-5,,,,,,,,,,
2020-08-29T19:08:02.117Z,48,<15,9,98,1-5,,,,,,,,,,
2020-08-30T04:31:21.867Z,48,<15,9,97,1-5,,,,,,,,,,
2020-08-30T07:15:32.680Z,48,<15,9,97,1-5,,,,,,,,,,
2020-08-30T15:55:07.603Z,48,<15,9,98,1-5,,,,,,,,,,
2020-08-31T07:06:04.153Z,48,<15,9,82,1-5,,,,,,,,,,
2020-08-31T19:12:35.257Z,48,<15,9,95,1-5,,,,,,,,,,
2020-09-01T03:44:24.423Z,48,<15,9,68,1-5,,,,,,,,,,
2020-09-01T07:26:50.713Z,48,<15,9,69,1-5,,,,,,,,,,
2020-09-01T15:48:54.947Z,48,<15,9,69,1-5,,,,,,,,,,
2020-09-01T19:29:10.310Z,48,<15,9,71,1-5,,,,,,,,,,
2020-09-02T03:48:16.603Z,48,<15,9,57,1-5,,,,,,,,,,
2020-09-02T07:29:52.750Z,48,<15,9,61,1-5,,,,,,,,,,
2020-09-02T16:16:58.493Z,49,<15,11,73,1-5,,,,,,,,,,
2020-09-02T19:22:21.383Z,49,<15,11,76,1-5,,,,,,,,,,
2020-09-03T03:39:09.817Z,49,<15,11,60,1-5,,,,,,,,,,
2020-09-03T07:25:59.323Z,49,<15,11,61,1-5,,,,,,,,,,
2020-09-03T15:44:32.453Z,49,<15,11,70,1-5,,,,,,,,,,
2020-09-03T19:31:18.930Z,49,<15,11,74,1-5,,,,,,,,,,
2020-09-04T04:02:27.220Z,49,<15,7,70,1-5,,,,,,,,,,
2020-09-04T08:33:32.257Z,49,<15,7,73,1-5,,,,,,,,,,
2020-09-04T14:23:25.623Z,49,<15,7,75,1-5,,,,,,,,,,
2020-09-05T16:20:27.527Z,49,<15,7,76,1-5,,,,,,,,,,
2020-09-05T19:40:21.500Z,50,<15,9,79,1-5,,,,,,,,,,
2020-09-06T03:42:26.243Z,50,<15,9,77,1-5,,,,,,,,,,
2020-09-06T06:59:52.613Z,50,<15,9,77,1-5,,,,,,,,,,
2020-09-06T15:33:44.957Z,49,<15,5,77,1-5,,,,,,,,,,
2020-09-06T19:27:55.423Z,49,<15,5,77,1-5,,,,,,,,,,
2020-09-07T04:31:30.613Z,49,<15,5,62,1-5,,,,,,,,,,
2020-09-07T07:38:04.493Z,49,<15,5,64,1-5,,,,,,,,,,
2020-09-07T15:38:31.557Z,49,<15,4,66,1-5,,,,,,,,,,
2020-09-07T17:31:07.610Z,50,<15,5,69,1-5,,,,,,,,,,
2020-09-07T19:26:33.937Z,50,<15,5,74,1-5,,,,,,,,,,
2020-09-08T04:10:57.787Z,50,<15,5,73,1-5,,,,,,,,,,
2020-09-08T07:04:17.997Z,50,<15,5,74,1-5,,,,,,,,,,
2020-09-08T10:04:17.997Z,50,<15,5,74,  1-5  ,,,,,,,,,,
2020-09-08T16:50:39.990Z,50,<15,5,86,  1-5  ,,,,,,,,,,
2020-09-08T13:50:39.990Z,50,<15,5,86,1-5,,,,,,,,,,
2020-09-08T17:57:43.140Z,50,<15,5,87,1-5,,,,,,,,,,
2020-09-08T19:16:01.563Z,50,<15,5,87,1-5,,,,,,,,,,
2020-09-09T03:58:55.127Z,50,<15,5,68,1-5,,,,,,,,,,
2020-09-09T07:10:04.400Z,50,<15,5,70,1-5,,,,,,,,,,
2020-09-09T16:03:07.143Z,48,<15,5,79,1-5,,,,,,,,,,
2020-09-09T19:24:24.427Z,48,<15,5,81,1-5,,,,,,,,,,
2020-09-10T03:38:32.990Z,50,<15,9,68,1-5,,,,,,,,,,
2020-09-10T07:15:19.630Z,50,<15,9,68,1-5,,,,,,,,,,
2020-09-10T15:24:42.677Z,50,<15,9,73,1-5,,,,,,,,,,
2020-09-10T19:30:55.320Z,50,<15,9,79,1-5,,,,,,,,,,
2020-09-11T03:51:43.293Z,51,<15,11,73,1-5,,,,,,,,,,
2020-09-11T08:42:54.063Z,51,<15,11,75,1-5,,,,,,,,,,
2020-09-11T14:29:56.553Z,51,<15,11,76,1-5,,,,,,,,,,
2020-09-12T15:56:23.313Z,53,<15,14,82,6-10,,,,,,,,,,
2020-09-12T18:54:25.377Z,53,<15,14,83,6-10,,,,,,,,,,
2020-09-13T03:53:52.697Z,53,<15,14,84,1-5,,,,,,,,,,
2020-09-13T07:29:45.173Z,53,<15,14,84,1-5,,,,,,,,,,
2020-09-13T19:08:27.253Z,53,<15,14,88,1-5,,,,,,,,,,
2020-09-14T04:11:56.110Z,53,<15,14,73,1-5,,,,,,,,,,
2020-09-14T06:59:27.110Z,53,<15,14,76,1-5,,,,,,,,,,
2020-09-14T16:34:45.150Z,53,<15,12,85,1-5,,,,,,,,,,
2020-09-14T19:31:17.433Z,53,<15,12,88,1-5,,,,,,,,,,
