Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,15,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,15,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,15,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,16,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,16,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,16,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,16,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,16,,,,,,,,,,,,,,
2020-07-06T15:56:00.557Z,17,<15,,233,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,17,<15,,234,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,17,<15,,235,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,19,<15,,245,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,19,<15,,248,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,23,<15,,277,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,23,<15,,277,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,23,<15,,280,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,23,<15,,281,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,23,<15,,47,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,24,<15,,41,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,24,<15,,44,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,24,<15,,44,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,24,<15,,42,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,24,<15,,41,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,24,<15,,42,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,24,<15,,36,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,24,<15,,37,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,24,<15,,34,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,24,<15,,30,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,24,<15,,31,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,24,<15,,32,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,25,<15,,20,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,25,<15,,26,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,25,<15,,21,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,25,<15,36,9,0,,,,,,,,,,
2020-07-28T07:41:01.270Z,25,<15,0,9,0,,,,,,,,,,
2020-07-28T15:57:37.887Z,25,<15,36,10,0,,,,,,,,,,
2020-07-28T19:05:30.067Z,26,<15,41,11,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,26,<15,41,11,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,26,<15,41,11,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,26,<15,41,13,1-5,,,,,,,,,,
2020-07-29T19:47:41.590Z,26,<15,41,13,1-5,,,,,,,,,,
2020-07-30T03:34:45.407Z,26,<15,8,11,1-5,,,,,,,,,,
2020-07-30T07:55:24.147Z,27,<15,12,14,1-5,,,,,,,,,,
2020-07-30T15:43:54.137Z,27,<15,12,14,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,27,<15,12,14,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,27,<15,12,12,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,27,<15,12,12,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,27,<15,12,12,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,27,<15,12,13,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,27,<15,12,13,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,27,<15,12,12,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,27,<15,12,12,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,27,<15,12,12,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,27,<15,12,12,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,27,<15,8,9,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,27,<15,8,10,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,27,<15,8,13,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,27,<15,8,13,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,27,<15,8,11,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,27,<15,8,11,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,27,<15,8,12,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,27,<15,8,13,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,27,<15,8,11,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,27,<15,8,12,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,27,<15,8,12,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,27,<15,8,12,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,27,<15,8,10,0,,,,,,,,,,
2020-08-06T07:26:05.917Z,27,<15,8,12,0,,,,,,,,,,
2020-08-06T15:55:31.993Z,27,<15,8,12,0,,,,,,,,,,
2020-08-06T19:15:44.523Z,27,<15,8,13,0,,,,,,,,,,
2020-08-07T03:46:04.500Z,27,<15,8,12,0,,,,,,,,,,
2020-08-07T08:10:09.393Z,27,<15,8,15,0,,,,,,,,,,
2020-08-07T14:40:50.180Z,27,<15,8,15,0,,,,,,,,,,
2020-08-08T16:45:50.553Z,27,<15,4,16,0,,,,,,,,,,
2020-08-08T19:27:22.153Z,27,<15,4,16,0,,,,,,,,,,
2020-08-09T04:06:23.703Z,27,<15,4,16,0,,,,,,,,,,
2020-08-09T07:14:20.263Z,27,<15,4,16,0,,,,,,,,,,
2020-08-09T16:06:33.187Z,27,<15,4,17,0,,,,,,,,,,
2020-08-09T19:26:37.877Z,27,<15,4,18,0,,,,,,,,,,
2020-08-10T07:20:10.150Z,27,<15,4,15,0,,,,,,,,,,
2020-08-10T15:48:14.683Z,27,<15,4,16,0,,,,,,,,,,
2020-08-10T19:33:40.523Z,27,<15,4,16,0,,,,,,,,,,
2020-08-11T03:33:09.120Z,27,<15,4,14,0,,,,,,,,,,
2020-08-11T07:23:01.417Z,27,<15,4,14,0,,,,,,,,,,
2020-08-11T16:01:33.767Z,27,<15,4,15,0,,,,,,,,,,
2020-08-11T19:11:26.837Z,27,<15,4,15,0,,,,,,,,,,
2020-08-12T03:47:07.760Z,27,<15,4,14,0,,,,,,,,,,
2020-08-12T07:25:05.527Z,27,<15,4,14,0,,,,,,,,,,
2020-08-12T15:17:58.400Z,27,<15,4,17,0,,,,,,,,,,
2020-08-12T19:11:10.037Z,27,<15,4,17,0,,,,,,,,,,
2020-08-13T03:25:43.083Z,27,<15,4,14,0,,,,,,,,,,
2020-08-13T07:09:54.410Z,27,<15,4,14,0,,,,,,,,,,
2020-08-13T16:00:11.437Z,27,<15,4,18,0,,,,,,,,,,
2020-08-13T19:08:43.847Z,27,<15,4,18,0,,,,,,,,,,
2020-08-14T04:07:12.977Z,27,0,0,18,0,,,,,,,,,,
2020-08-14T07:09:23.630Z,27,0,0,18,0,,,,,,,,,,
2020-08-14T14:40:20.690Z,27,0,0,19,0,,,,,,,,,,
2020-08-15T17:25:39.157Z,27,0,0,19,0,,,,,,,,,,
2020-08-15T19:20:16.850Z,27,0,0,19,0,,,,,,,,,,
2020-08-16T03:40:33.850Z,27,0,0,16,0,,,,,,,,,,
2020-08-16T07:05:21.820Z,27,0,0,16,0,,,,,,,,,,
2020-08-16T15:53:14.997Z,27,0,0,16,0,,,,,,,,,,
2020-08-17T07:41:16.500Z,27,0,0,14,0,,,,,,,,,,
2020-08-17T15:51:53.560Z,27,0,0,15,0,,,,,,,,,,
2020-08-17T19:45:07.133Z,27,0,0,17,0,,,,,,,,,,
2020-08-18T03:43:43.340Z,27,0,0,16,0,,,,,,,,,,
2020-08-18T07:12:06.963Z,27,0,0,17,0,,,,,,,,,,
2020-08-18T16:09:29.920Z,27,0,0,17,0,,,,,,,,,,
2020-08-18T18:55:23.410Z,27,0,0,20,0,,,,,,,,,,
2020-08-19T04:45:32.057Z,27,0,0,18,0,,,,,,,,,,
2020-08-19T07:38:12.840Z,27,0,0,20,0,,,,,,,,,,
2020-08-19T17:09:53.377Z,27,0,0,20,0,,,,,,,,,,
2020-08-19T19:17:48.483Z,27,0,0,21,0,,,,,,,,,,
2020-08-20T04:10:29.010Z,27,0,0,16,0,,,,,,,,,,
2020-08-20T07:18:04.130Z,27,0,0,16,0,,,,,,,,,,
2020-08-20T15:31:52.293Z,27,0,0,16,0,,,,,,,,,,
2020-08-20T20:06:10.983Z,27,0,0,18,0,,,,,,,,,,
2020-08-21T14:16:16.233Z,27,0,0,14,0,,,,,,,,,,
2020-08-22T16:59:01.583Z,27,0,0,19,0,,,,,,,,,,
2020-08-22T19:30:43.107Z,27,0,0,19,0,,,,,,,,,,
2020-08-23T03:21:42.033Z,27,0,0,19,0,,,,,,,,,,
2020-08-23T07:36:27.623Z,27,0,0,19,0,,,,,,,,,,
2020-08-23T16:06:03.420Z,27,0,0,21,0,,,,,,,,,,
2020-08-23T19:24:52.200Z,27,0,0,22,0,,,,,,,,,,
2020-08-24T03:42:44.113Z,27,0,0,20,0,,,,,,,,,,
2020-08-24T06:59:28.390Z,27,0,0,20,0,,,,,,,,,,
2020-08-24T15:46:46.347Z,27,0,0,21,0,,,,,,,,,,
2020-08-24T19:04:20.180Z,27,0,0,21,0,,,,,,,,,,
2020-08-25T04:04:12.517Z,27,0,0,20,0,,,,,,,,,,
2020-08-25T07:23:14.767Z,27,0,0,20,0,,,,,,,,,,
2020-08-25T15:24:02.787Z,27,0,0,21,0,,,,,,,,,,
