Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-08-04T16:04:10.740Z,0,0,0,8,0,,,,,,,,,,
2020-08-04T19:23:52.547Z,0,0,0,8,0,,,,,,,,,,
2020-08-05T04:07:11.650Z,0,0,0,10,0,,,,,,,,,,
2020-08-05T07:07:34.267Z,0,0,0,10,0,,,,,,,,,,
2020-08-05T15:57:55.180Z,0,0,0,10,0,,,,,,,,,,
2020-08-05T19:15:38.693Z,0,0,0,10,0,,,,,,,,,,
2020-08-06T03:52:50.220Z,0,0,0,9,0,,,,,,,,,,
2020-08-06T07:26:05.917Z,0,0,0,9,0,,,,,,,,,,
2020-08-06T15:55:31.993Z,0,0,0,10,0,,,,,,,,,,
2020-08-06T19:15:44.523Z,0,0,0,10,0,,,,,,,,,,
2020-08-07T03:46:04.500Z,0,0,0,12,0,,,,,,,,,,
2020-08-07T08:10:09.393Z,0,0,0,12,0,,,,,,,,,,
2020-08-07T14:40:50.180Z,0,0,0,12,0,,,,,,,,,,
2020-08-08T16:45:50.553Z,0,0,0,11,0,,,,,,,,,,
2020-08-08T19:27:22.153Z,0,0,0,12,0,,,,,,,,,,
2020-08-09T04:06:23.703Z,0,0,0,12,0,,,,,,,,,,
2020-08-09T07:14:20.263Z,0,0,0,12,0,,,,,,,,,,
2020-08-09T16:06:33.187Z,0,0,0,13,0,,,,,,,,,,
2020-08-09T19:26:37.877Z,0,0,0,14,0,,,,,,,,,,
2020-08-10T07:20:10.150Z,0,0,0,14,0,,,,,,,,,,
2020-08-10T15:48:14.683Z,0,0,0,14,0,,,,,,,,,,
2020-08-10T19:33:40.523Z,0,0,0,14,0,,,,,,,,,,
2020-08-11T03:33:09.120Z,0,0,0,10,0,,,,,,,,,,
2020-08-11T07:23:01.417Z,0,0,0,10,0,,,,,,,,,,
2020-08-11T16:01:33.767Z,0,0,0,9,0,,,,,,,,,,
2020-08-11T19:11:26.837Z,0,0,0,9,0,,,,,,,,,,
2020-08-12T03:47:07.760Z,0,0,0,8,0,,,,,,,,,,
