Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2021-01-25T15:19:21.960Z,238,30,144,260, 11-14 ,,,,,,,,,,
2021-01-25T20:15:07.197Z,239,31,149,264,15,,,,,,,,,,
2021-01-26T08:39:00.873Z,241,34,164,260,16,31,149.1,72.2,-0.464285714286,0.0641025641025,7.1,yellow,yellow,14.5743145743,3.0303030303
2021-01-26T16:37:13.443Z,241,33,159,267,16,31,149.1,72.2,-0.464285714286,0.0641025641025,7.1,yellow,yellow,14.5743145743,3.0303030303
2021-01-26T17:48:49.590Z,242,34,164,269,17,31,149.1,72.2,-0.464285714286,0.0641025641025,7.1,yellow,yellow,14.5743145743,3.0303030303
2021-01-27T04:15:33.720Z,243,35,168,278, 11-14 ,35,168.4,86.6,-0.379310344828,0.0705882352941,7,yellow,yellow,15.7287157287,3.6075036075
2021-01-27T09:37:45.910Z,244,32,154,282,15,35,168.4,86.6,-0.379310344828,0.0705882352941,7,yellow,yellow,15.7287157287,3.6075036075
2021-01-27T15:47:33.793Z,241,28,135,284, 11-14 ,35,168.4,86.6,-0.379310344828,0.0705882352941,7,yellow,yellow,15.7287157287,3.6075036075
2021-01-27T19:14:37.080Z,241,27,130,291, 11-14 ,35,168.4,86.6,-0.379310344828,0.0705882352941,7,yellow,yellow,15.7768157768,3.6075036075
2021-01-28T02:59:46.543Z,244,30,144,282,15,28,134.7,72.2,-0.5,0.0592885375494,6.6,yellow,yellow,16.6907166907,3.9442039442
2021-01-28T06:39:58.397Z,243,28,135,283, 11-14 ,28,134.7,72.2,-0.5,0.0592885375494,6.6,yellow,yellow,16.4502164502,3.8961038961
2021-01-28T21:08:02.507Z,245,29,139,307,16,28,134.7,72.2,-0.5,0.0592885375494,6.6,yellow,yellow,17.2198172198,3.9442039442
