Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,100,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,101,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,101,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,101,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,101,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,101,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,101,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,102,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,102,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,102,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,102,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,102,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,102,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,102,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,102,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,103,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,103,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,103,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,103,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,103,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,103,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,102,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,102,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,102,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,100,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,100,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,100,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,100,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,101,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,101,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,102,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,102,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,102,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,102,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,102,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,102,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,102,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,102,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,102,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,102,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,102,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,102,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,102,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,102,<15,,2541,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,102,<15,,2549,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,102,<15,,2554,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,102,<15,,2564,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,102,<15,,2578,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,102,<15,,2586,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,105,<15,,2609,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,108,<15,,2643,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,108,<15,,2664,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,108,<15,,2687,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,108,<15,,2706,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,108,<15,,2720,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,108,<15,,2721,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,110,<15,,2736,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,109,<15,,2743,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,109,<15,,2743,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,110,<15,,2759,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,110,<15,,2770,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,110,<15,,2791,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,111,<15,,2812,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,111,<15,,2820,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,112,<15,,2831,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,113,15,,244,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,114,16,,205,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,114,16,,213,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,114,16,,218,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,114,16,,182,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,115,17,,195,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,116,18,,210,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,123,24,,214,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,123,24,,232,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,125,26,,246,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,125,26,,237,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,125,26,,244,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,126,27,,249,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,127,27,,226,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,127,27,,241,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,127,26,,247,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,132,31,,196,17,,,,,,,,,,
2020-07-21T15:44:09.447Z,134,32,,209,19,,,,,,,,,,
2020-07-21T19:34:08.533Z,134,32,,218,19,,,,,,,,,,
2020-07-22T07:21:49.913Z,135,33,,227,19,,,,,,,,,,
2020-07-22T16:17:18.653Z,134,32,,240,18,,,,,,,,,,
2020-07-22T19:32:45.860Z,134,32,,244,18,,,,,,,,,,
2020-07-23T07:43:44.770Z,135,33,,230,17,,,,,,,,,,
2020-07-23T15:47:26.380Z,136,34,,236,18,,,,,,,,,,
2020-07-23T19:45:09.340Z,136,34,,237,18,,,,,,,,,,
2020-07-24T07:25:49.703Z,136,32,,203,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,136,32,,222,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,137,33,,223,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,137,33,,228,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,137,33,,220,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,137,33,,222,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,137,33,,225,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,137,33,,199,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,137,33,,208,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,138,34,,210,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,140,32,,192,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,141,33,,198,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,141,33,13,198,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,141,33,0,198,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,141,32,12,211,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,141,32,12,216,6-10,,,,,,,,,,
2020-07-29T04:22:45.457Z,141,32,12,199,6-10,,,,,,,,,,
2020-07-29T07:43:55.003Z,141,32,12,207,6-10,,,,,,,,,,
2020-07-29T15:54:50.897Z,141,32,12,216,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,140,31,12,217,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,140,30,12,189,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,140,30,12,198,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,139,16,6,220,1-5,,,,,,,,,,
2020-07-30T19:25:51.573Z,139,16,6,225,1-5,,,,,,,,,,
2020-07-31T03:50:21.007Z,139,16,6,185,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,139,16,6,201,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,139,16,6,210,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,139,16,6,202,1-5,,,,,,,,,,
2020-08-01T19:55:08.933Z,139,16,6,204,1-5,,,,,,,,,,
2020-08-02T03:33:43.373Z,139,<15,5,191,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,139,<15,5,191,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,141,16,6,197,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,141,16,6,201,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,140,<15,5,178,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,140,<15,5,191,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,142,16,6,204,1-5,,,,,,,,,,
2020-08-03T19:19:51.413Z,142,16,6,207,1-5,,,,,,,,,,
2020-08-04T04:24:01.137Z,143,17,7,161,1-5,,,,,,,,,,
2020-08-04T07:09:49.710Z,143,17,7,162,1-5,,,,,,,,,,
2020-08-04T16:04:10.740Z,144,18,7,175,1-5,,,,,,,,,,
2020-08-04T19:23:52.547Z,144,18,7,180,1-5,,,,,,,,,,
2020-08-05T04:07:11.650Z,145,18,7,169,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,145,18,7,169,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,145,18,7,181,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,145,18,7,207,1-5,,,,,,,,,,
2020-08-06T03:52:50.220Z,146,17,7,197,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,146,17,7,200,1-5,,,,,,,,,,
2020-08-06T15:55:31.993Z,148,19,7,216,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,148,19,7,219,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,149,18,7,201,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,149,18,7,203,6-10,,,,,,,,,,
2020-08-07T14:40:50.180Z,149,18,7,216,6-10,,,,,,,,,,
2020-08-08T16:45:50.553Z,149,17,7,219,6-10,,,,,,,,,,
