Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-22T19:30:15.553Z,<15,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,<15,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,<15,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,<15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,<15,,,,,,,,,,,,,,
2020-07-08T15:51:46.940Z,<15,<15,,535,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,<15,<15,,538,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,<15,<15,,582,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,<15,<15,,582,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,<15,<15,,611,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,<15,<15,,612,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,15,<15,,625,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,16,<15,,631,<15,,,,,,,,,,
2020-07-14T20:02:00.000Z,16,<15,,105,<15,,,,,,,,,,
2020-07-15T07:32:13.567Z,16,<15,,93,<15,,,,,,,,,,
2020-07-15T15:35:31.323Z,16,<15,,98,<15,,,,,,,,,,
2020-07-15T19:29:13.910Z,16,<15,,103,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,16,<15,,87,<15,,,,,,,,,,
2020-07-16T15:42:35.290Z,16,<15,,95,<15,,,,,,,,,,
2020-07-16T19:09:09.317Z,16,<15,,105,<15,,,,,,,,,,
2020-07-17T07:18:52.977Z,16,<15,,102,<15,,,,,,,,,,
2020-07-17T15:27:31.690Z,17,<15,,117,<15,,,,,,,,,,
2020-07-18T19:46:54.420Z,19,<15,,121,<15,,,,,,,,,,
2020-07-19T07:20:25.537Z,19,<15,,108,<15,,,,,,,,,,
2020-07-19T15:47:25.010Z,19,<15,,113,<15,,,,,,,,,,
2020-07-19T19:39:30.623Z,19,<15,,115,<15,,,,,,,,,,
2020-07-20T07:39:43.380Z,20,15,,91,<15,,,,,,,,,,
2020-07-20T16:08:51.117Z,19,<15,,95,<15,,,,,,,,,,
2020-07-20T19:37:52.507Z,19,<15,,96,<15,,,,,,,,,,
2020-07-21T07:10:01.260Z,19,<15,,88,<15,,,,,,,,,,
2020-07-21T15:44:09.447Z,20,15,,96,<15,,,,,,,,,,
2020-07-21T19:34:08.533Z,20,15,,96,<15,,,,,,,,,,
2020-07-22T07:21:49.913Z,21,16,,83,<15,,,,,,,,,,
2020-07-22T16:17:18.653Z,21,16,,96,<15,,,,,,,,,,
2020-07-22T19:32:45.860Z,21,16,,99,<15,,,,,,,,,,
2020-07-23T07:43:44.770Z,21,16,,86,<15,,,,,,,,,,
2020-07-23T15:47:26.380Z,21,16,,91,<15,,,,,,,,,,
2020-07-23T19:45:09.340Z,21,16,,96,<15,,,,,,,,,,
2020-07-24T07:25:49.703Z,22,17,,80,<15,,,,,,,,,,
2020-07-24T14:58:49.413Z,25,20,,88,<15,,,,,,,,,,
2020-07-25T16:46:57.223Z,25,20,,86,<15,,,,,,,,,,
2020-07-25T19:33:21.280Z,25,20,,86,<15,,,,,,,,,,
2020-07-26T07:34:22.503Z,25,20,,80,<15,,,,,,,,,,
2020-07-26T16:24:05.187Z,26,21,,81,<15,,,,,,,,,,
2020-07-26T19:12:10.287Z,26,21,,84,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,26,21,,79,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,26,21,,86,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,26,21,,88,<15,,,,,,,,,,
2020-07-28T04:31:31.657Z,26,18,,78,<15,,,,,,,,,,
2020-07-28T07:41:01.270Z,26,18,,82,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,26,18,32,82,6-10,,,,,,,,,,
2020-07-28T07:41:01.270Z,26,18,0,82,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,26,18,32,89,6-10,,,,,,,,,,
2020-07-28T19:05:30.067Z,26,18,32,90,6-10,,,,,,,,,,
2020-07-29T04:22:45.457Z,26,18,32,73,6-10,,,,,,,,,,
2020-07-29T07:43:55.003Z,26,18,32,73,6-10,,,,,,,,,,
2020-07-29T15:54:50.897Z,26,18,32,79,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,27,19,34,82,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,27,19,34,60,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,28,20,36,63,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,28,<15,20,66,6-10,,,,,,,,,,
2020-07-30T19:25:51.573Z,28,<15,20,68,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,28,<15,20,59,1-5,,,,,,,,,,
2020-07-31T07:43:12.217Z,29,<15,21,62,1-5,,,,,,,,,,
2020-07-31T14:53:21.500Z,30,<15,23,65,1-5,,,,,,,,,,
2020-08-01T16:50:00.920Z,31,<15,25,71,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,31,<15,25,73,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,31,<15,23,66,1-5,,,,,,,,,,
2020-08-02T07:36:18.830Z,31,<15,23,66,1-5,,,,,,,,,,
2020-08-02T14:56:26.230Z,31,<15,23,68,1-5,,,,,,,,,,
2020-08-02T19:40:45.250Z,31,<15,23,71,1-5,,,,,,,,,,
2020-08-03T04:12:58.747Z,31,<15,23,64,1-5,,,,,,,,,,
2020-08-03T07:31:19.470Z,31,<15,23,65,1-5,,,,,,,,,,
2020-08-03T15:51:59.413Z,32,<15,25,74,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,32,<15,25,76,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,32,<15,23,69,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,34,15,27,74,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,34,15,27,76,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,34,15,27,78,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,34,15,27,69,6-10,,,,,,,,,,
2020-08-05T07:07:34.267Z,34,15,27,69,6-10,,,,,,,,,,
2020-08-05T15:57:55.180Z,36,17,30,78,6-10,,,,,,,,,,
2020-08-05T19:15:38.693Z,36,17,30,79,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,37,<15,25,77,6-10,,,,,,,,,,
2020-08-06T07:26:05.917Z,37,<15,25,81,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,37,<15,25,84,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,37,<15,25,86,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,37,<15,25,74,6-10,,,,,,,,,,
2020-08-07T08:10:09.393Z,37,<15,25,78,6-10,,,,,,,,,,
2020-08-07T14:40:50.180Z,37,<15,25,81,6-10,,,,,,,,,,
2020-08-08T16:45:50.553Z,39,16,29,74,6-10,,,,,,,,,,
2020-08-08T19:27:22.153Z,39,16,29,74,6-10,,,,,,,,,,
2020-08-09T04:06:23.703Z,39,16,29,66,6-10,,,,,,,,,,
2020-08-09T07:14:20.263Z,39,16,29,66,6-10,,,,,,,,,,
2020-08-09T16:06:33.187Z,39,16,29,68,6-10,,,,,,,,,,
2020-08-09T19:26:37.877Z,40,17,30,71,6-10,,,,,,,,,,
2020-08-10T07:20:10.150Z,42,18,32,62,6-10,,,,,,,,,,
2020-08-10T15:48:14.683Z,42,18,32,67,6-10,,,,,,,,,,
2020-08-10T19:33:40.523Z,42,18,32,68,6-10,,,,,,,,,,
2020-08-11T03:33:09.120Z,43,18,32,61,6-10,,,,,,,,,,
2020-08-11T07:23:01.417Z,43,18,32,61,6-10,,,,,,,,,,
2020-08-11T16:01:33.767Z,43,18,32,64,6-10,,,,,,,,,,
2020-08-11T19:11:26.837Z,43,18,32,67,6-10,,,,,,,,,,
2020-08-12T03:47:07.760Z,43,18,32,59,6-10,,,,,,,,,,
2020-08-12T07:25:05.527Z,43,18,32,61,6-10,,,,,,,,,,
2020-08-12T15:17:58.400Z,43,18,32,63,6-10,,,,,,,,,,
2020-08-12T19:11:10.037Z,43,18,32,64,6-10,,,,,,,,,,
2020-08-13T03:25:43.083Z,43,16,29,59,6-10,,,,,,,,,,
2020-08-13T07:09:54.410Z,43,16,29,59,6-10,,,,,,,,,,
2020-08-13T16:00:11.437Z,43,16,29,62,6-10,,,,,,,,,,
2020-08-13T19:08:43.847Z,43,16,29,63,6-10,,,,,,,,,,
2020-08-14T04:07:12.977Z,43,15,27,57,1-5,,,,,,,,,,
2020-08-14T07:09:23.630Z,43,15,27,57,1-5,,,,,,,,,,
2020-08-14T14:40:20.690Z,44,15,27,59,1-5,,,,,,,,,,
2020-08-15T17:25:39.157Z,44,<15,25,61,1-5,,,,,,,,,,
2020-08-15T19:20:16.850Z,44,<15,25,61,1-5,,,,,,,,,,
2020-08-16T03:40:33.850Z,44,<15,25,52,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,44,<15,25,52,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,44,<15,25,52,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,44,<15,25,45,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,44,<15,25,54,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,44,<15,25,55,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,44,<15,23,47,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,44,<15,23,49,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,44,<15,23,50,1-5,,,,,,,,,,
2020-08-18T18:55:23.410Z,44,<15,23,53,1-5,,,,,,,,,,
2020-08-19T04:45:32.057Z,42,<15,20,52,1-5,,,,,,,,,,
2020-08-19T07:38:12.840Z,42,<15,20,54,1-5,,,,,,,,,,
2020-08-19T17:09:53.377Z,42,<15,20,57,1-5,,,,,,,,,,
2020-08-19T19:17:48.483Z,42,<15,20,57,1-5,,,,,,,,,,
2020-08-20T04:10:29.010Z,42,<15,18,52,1-5,,,,,,,,,,
2020-08-20T07:18:04.130Z,42,<15,18,52,1-5,,,,,,,,,,
2020-08-20T15:31:52.293Z,42,<15,16,57,1-5,,,,,,,,,,
2020-08-20T20:06:10.983Z,42,<15,16,59,1-5,,,,,,,,,,
2020-08-21T14:16:16.233Z,42,<15,12,60,0,,,,,,,,,,
2020-08-22T16:59:01.583Z,42,<15,9,64,0,,,,,,,,,,
2020-08-22T19:30:43.107Z,42,<15,9,64,0,,,,,,,,,,
2020-08-23T03:21:42.033Z,42,<15,7,62,0,,,,,,,,,,
2020-08-23T07:36:27.623Z,42,<15,7,62,0,,,,,,,,,,
2020-08-23T16:06:03.420Z,42,<15,7,62,0,,,,,,,,,,
2020-08-23T19:24:52.200Z,42,<15,7,63,0,,,,,,,,,,
2020-08-24T03:42:44.113Z,42,<15,7,53,0,,,,,,,,,,
2020-08-24T06:59:28.390Z,42,<15,7,53,0,,,,,,,,,,
2020-08-24T15:46:46.347Z,42,<15,7,55,0,,,,,,,,,,
2020-08-24T19:04:20.180Z,42,<15,7,59,0,,,,,,,,,,
2020-08-25T04:04:12.517Z,42,<15,5,47,0,,,,,,,,,,
