Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,321,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,322,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,323,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,323,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,323,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,323,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,323,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,326,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,332,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,337,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,339,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,341,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,342,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,342,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,343,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,343,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,348,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,348,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,350,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,357,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,359,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,364,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,364,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,366,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,369,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,376,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,378,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,379,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,397,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,402,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,408,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,413,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,426,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,432,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,439,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,443,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,443,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,458,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,496,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,498,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,499,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,509,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,512,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,514,208,,5601,134,,,,,,,,,,
2020-07-06T15:56:00.557Z,546,240,,5698,166,,,,,,,,,,
2020-07-07T05:00:26.417Z,549,243,,5738,144,,,,,,,,,,
2020-07-07T07:17:42.693Z,549,243,,5742,144,,,,,,,,,,
2020-07-07T15:43:32.247Z,562,256,,5821,157,,,,,,,,,,
2020-07-07T19:25:00.177Z,574,268,,5897,169,,,,,,,,,,
2020-07-08T07:31:44.197Z,597,291,,5973,167,,,,,,,,,,
2020-07-08T15:51:46.940Z,613,306,,6079,183,,,,,,,,,,
2020-07-08T19:34:17.600Z,618,309,,6120,188,,,,,,,,,,
2020-07-09T07:16:21.100Z,632,320,,6218,185,,,,,,,,,,
2020-07-09T15:38:11.660Z,653,341,,6295,207,,,,,,,,,,
2020-07-10T04:16:29.737Z,688,375,,6410,214,,,,,,,,,,
2020-07-10T07:28:43.630Z,688,375,,6413,214,,,,,,,,,,
2020-07-10T14:20:07.117Z,735,419,,6533,260,,,,,,,,,,
2020-07-11T17:08:38.350Z,785,468,,6745,284,,,,,,,,,,
2020-07-11T19:41:22.557Z,785,468,,6745,284,,,,,,,,,,
2020-07-12T07:32:17.937Z,814,497,,6866,298,,,,,,,,,,
2020-07-12T15:55:03.303Z,833,516,,6923,317,,,,,,,,,,
2020-07-13T12:16:23.697Z,886,568,,7111,336,,,,,,,,,,
2020-07-13T13:19:16.637Z,889,571,,7131,339,,,,,,,,,,
2020-07-13T19:28:55.597Z,923,601,,7245,373,,,,,,,,,,
2020-07-14T07:14:06.710Z,950,626,,7369,356,,,,,,,,,,
2020-07-14T20:02:00.000Z,999,673,,1554,405,,,,,,,,,,
2020-07-15T07:32:13.567Z,1020,693,,1428,387,,,,,,,,,,
2020-07-15T15:35:31.323Z,1072,741,,1650,439,,,,,,,,,,
2020-07-15T19:29:13.910Z,1105,769,,1759,472,,,,,,,,,,
2020-07-16T07:40:17.937Z,1139,799,,1641,452,,,,,,,,,,
2020-07-16T15:42:35.290Z,1162,818,,1751,474,,,,,,,,,,
2020-07-16T19:09:09.317Z,1169,823,,1788,480,,,,,,,,,,
2020-07-17T07:18:52.977Z,1179,833,,1655,427,,,,,,,,,,
2020-07-17T15:27:31.690Z,1232,883,,1837,479,,,,,,,,,,
2020-07-18T19:46:54.420Z,1312,957,,1842,499,,,,,,,,,,
2020-07-19T07:20:25.537Z,1315,960,,1655,437,,,,,,,,,,
2020-07-19T15:47:25.010Z,1329,973,,1717,451,,,,,,,,,,
2020-07-19T19:39:30.623Z,1341,985,,1763,463,,,,,,,,,,
2020-07-20T07:39:43.380Z,1343,986,,1503,394,,,,,,,,,,
2020-07-20T16:08:51.117Z,1390,1025,,1668,441,,,,,,,,,,
2020-07-20T19:37:52.507Z,1401,1033,,1749,452,,,,,,,,,,
2020-07-21T07:10:01.260Z,1425,1054,,1625,408,,,,,,,,,,
