Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,49,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,49,,,,,,,,,,,,,,
2020-06-21T07:20:11.780Z,49,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,49,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,49,,,,,,,,,,,,,,
2020-06-21T18:40:11.823Z,49,,,,,,,,,,,,,,
2020-06-22T07:30:45.727Z,49,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,49,,,,,,,,,,,,,,
2020-06-22T19:30:15.553Z,51,,,,,,,,,,,,,,
2020-06-23T07:50:51.133Z,51,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,51,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,51,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,52,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,51,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,52,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,53,,,,,,,,,,,,,,
2020-06-25T15:53:21.880Z,52,,,,,,,,,,,,,,
2020-06-26T09:49:23.427Z,52,,,,,,,,,,,,,,
2020-06-26T15:02:02.763Z,52,,,,,,,,,,,,,,
2020-06-27T18:27:07.357Z,54,,,,,,,,,,,,,,
2020-06-28T07:18:11.300Z,54,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,53,,,,,,,,,,,,,,
2020-06-28T15:55:51.050Z,53,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,53,,,,,,,,,,,,,,
2020-06-29T08:35:00.587Z,54,,,,,,,,,,,,,,
2020-06-29T15:49:48.580Z,54,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,54,,,,,,,,,,,,,,
2020-06-30T07:38:39.213Z,54,,,,,,,,,,,,,,
2020-06-30T15:55:44.970Z,55,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,55,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,56,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,56,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,56,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,56,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,57,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,57,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,57,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,58,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,58,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,58,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,58,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,60,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,60,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,60,16,,2764,<15,,,,,,,,,,
2020-07-06T15:56:00.557Z,61,17,,2788,<15,,,,,,,,,,
2020-07-07T05:00:26.417Z,62,16,,2815,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,62,16,,2821,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,66,20,,2851,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,66,20,,2864,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,67,21,,2891,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,69,23,,2910,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,69,23,,2921,<15,,,,,,,,,,
2020-07-09T07:16:21.100Z,70,24,,2942,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,71,25,,2986,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,72,25,,3010,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,72,25,,3013,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,76,29,,3036,17,,,,,,,,,,
2020-07-11T17:08:38.350Z,77,30,,3099,18,,,,,,,,,,
2020-07-11T19:41:22.557Z,77,30,,3099,18,,,,,,,,,,
2020-07-12T07:32:17.937Z,84,36,,3142,25,,,,,,,,,,
2020-07-12T15:55:03.303Z,87,39,,3172,28,,,,,,,,,,
2020-07-13T12:16:23.697Z,89,39,,3214,27,,,,,,,,,,
2020-07-13T13:19:16.637Z,89,39,,3217,27,,,,,,,,,,
2020-07-13T19:28:55.597Z,89,39,,3246,27,,,,,,,,,,
