Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-19T14:30:14.543Z,<15,,,,,,,,,,,,,,
2020-06-20T19:20:17.163Z,<15,,,,,,,,,,,,,,
2020-06-21T14:50:12.100Z,<15,,,,,,,,,,,,,,
2020-06-21T16:10:14.103Z,<15,,,,,,,,,,,,,,
2020-06-22T16:00:13.613Z,<15,,,,,,,,,,,,,,
2020-06-23T16:18:59.960Z,<15,,,,,,,,,,,,,,
2020-06-23T19:40:54.200Z,<15,,,,,,,,,,,,,,
2020-06-24T07:50:02.310Z,<15,,,,,,,,,,,,,,
2020-06-24T16:00:16.093Z,<15,,,,,,,,,,,,,,
2020-06-24T20:46:10.367Z,<15,,,,,,,,,,,,,,
2020-06-25T07:29:41.503Z,<15,,,,,,,,,,,,,,
2020-06-28T14:41:32.290Z,<15,,,,,,,,,,,,,,
2020-06-28T19:33:24.773Z,<15,,,,,,,,,,,,,,
2020-06-29T19:30:09.437Z,<15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,<15,,,,,,,,,,,,,,
2020-07-12T15:55:03.303Z,19,<15,,995,<15,,,,,,,,,,
2020-07-16T07:40:17.937Z,19,<15,,109,<15,,,,,,,,,,
2020-07-27T07:17:01.273Z,25,<15,,102,<15,,,,,,,,,,
2020-07-27T16:04:20.010Z,25,<15,,108,<15,,,,,,,,,,
2020-07-27T19:25:32.007Z,25,<15,,113,<15,,,,,,,,,,
2020-07-28T08:57:27.217Z,25,<15,9,109,1-5,,,,,,,,,,
2020-07-28T07:41:01.270Z,25,<15,0,108,-1,,,,,,,,,,
2020-07-28T15:57:37.887Z,25,<15,9,112,1-5,,,,,,,,,,
2020-07-28T19:05:30.067Z,25,<15,9,115,1-5,,,,,,,,,,
2020-07-29T04:22:45.457Z,26,<15,10,112,1-5,,,,,,,,,,
2020-07-29T07:43:55.003Z,26,<15,10,115,1-5,,,,,,,,,,
2020-07-29T15:54:50.897Z,28,<15,12,127,6-10,,,,,,,,,,
2020-07-29T19:47:41.590Z,28,<15,12,136,6-10,,,,,,,,,,
2020-07-30T03:34:45.407Z,28,<15,10,105,6-10,,,,,,,,,,
2020-07-30T07:55:24.147Z,30,<15,12,109,6-10,,,,,,,,,,
2020-07-30T15:43:54.137Z,30,<15,10,117,6-10,,,,,,,,,,
2020-07-30T19:25:51.573Z,30,<15,10,124,6-10,,,,,,,,,,
2020-07-31T03:50:21.007Z,30,<15,10,94,6-10,,,,,,,,,,
2020-07-31T07:43:12.217Z,30,<15,10,108,6-10,,,,,,,,,,
2020-07-31T14:53:21.500Z,30,<15,10,122,6-10,,,,,,,,,,
2020-08-01T16:50:00.920Z,32,<15,12,132,6-10,,,,,,,,,,
2020-08-01T19:55:08.933Z,33,<15,13,135,6-10,,,,,,,,,,
2020-08-02T03:33:43.373Z,33,<15,13,130,6-10,,,,,,,,,,
2020-08-02T07:36:18.830Z,33,<15,13,130,6-10,,,,,,,,,,
2020-08-02T14:56:26.230Z,33,<15,13,133,6-10,,,,,,,,,,
2020-08-02T19:40:45.250Z,33,<15,13,134,6-10,,,,,,,,,,
2020-08-03T04:12:58.747Z,33,<15,12,116,6-10,,,,,,,,,,
2020-08-03T07:31:19.470Z,33,<15,12,122,6-10,,,,,,,,,,
2020-08-03T15:51:59.413Z,33,<15,12,133,6-10,,,,,,,,,,
2020-08-03T19:19:51.413Z,33,<15,12,133,6-10,,,,,,,,,,
2020-08-04T04:24:01.137Z,33,<15,11,123,6-10,,,,,,,,,,
2020-08-04T07:09:49.710Z,33,<15,11,124,6-10,,,,,,,,,,
2020-08-04T16:04:10.740Z,34,<15,12,127,6-10,,,,,,,,,,
2020-08-04T19:23:52.547Z,34,<15,12,132,6-10,,,,,,,,,,
2020-08-05T04:07:11.650Z,34,<15,12,102,1-5,,,,,,,,,,
2020-08-05T07:07:34.267Z,34,<15,12,103,1-5,,,,,,,,,,
2020-08-05T15:57:55.180Z,34,<15,12,118,1-5,,,,,,,,,,
2020-08-05T19:15:38.693Z,35,<15,13,125,6-10,,,,,,,,,,
2020-08-06T03:52:50.220Z,35,<15,12,119,1-5,,,,,,,,,,
2020-08-06T07:26:05.917Z,36,<15,13,123,6-10,,,,,,,,,,
2020-08-06T15:55:31.993Z,36,<15,13,129,6-10,,,,,,,,,,
2020-08-06T19:15:44.523Z,36,<15,13,137,6-10,,,,,,,,,,
2020-08-07T03:46:04.500Z,36,<15,13,99,1-5,,,,,,,,,,
2020-08-07T08:10:09.393Z,36,<15,13,101,1-5,,,,,,,,,,
2020-08-07T14:40:50.180Z,36,<15,13,108,1-5,,,,,,,,,,
2020-08-08T16:45:50.553Z,36,<15,12,111,1-5,,,,,,,,,,
2020-08-08T19:27:22.153Z,36,<15,12,111,1-5,,,,,,,,,,
2020-08-09T04:06:23.703Z,37,<15,13,110,1-5,,,,,,,,,,
2020-08-09T07:14:20.263Z,37,<15,13,110,1-5,,,,,,,,,,
2020-08-09T16:06:33.187Z,37,<15,13,110,1-5,,,,,,,,,,
2020-08-09T19:26:37.877Z,38,15,14,115,1-5,,,,,,,,,,
2020-08-10T07:20:10.150Z,38,<15,13,97,1-5,,,,,,,,,,
2020-08-10T15:48:14.683Z,39,15,14,104,6-10,,,,,,,,,,
2020-08-10T19:33:40.523Z,41,17,16,115,6-10,,,,,,,,,,
2020-08-11T03:33:09.120Z,41,15,14,103,6-10,,,,,,,,,,
2020-08-11T07:23:01.417Z,41,15,14,107,6-10,,,,,,,,,,
2020-08-11T16:01:33.767Z,42,16,15,117,6-10,,,,,,,,,,
2020-08-11T19:11:26.837Z,42,16,15,118,6-10,,,,,,,,,,
2020-08-12T03:47:07.760Z,42,16,15,96,6-10,,,,,,,,,,
2020-08-12T07:25:05.527Z,42,16,15,98,6-10,,,,,,,,,,
2020-08-12T15:17:58.400Z,43,17,16,105,6-10,,,,,,,,,,
2020-08-12T19:11:10.037Z,43,17,16,116,6-10,,,,,,,,,,
2020-08-13T03:25:43.083Z,43,17,16,112,6-10,,,,,,,,,,
2020-08-13T07:09:54.410Z,43,17,16,112,6-10,,,,,,,,,,
2020-08-13T16:00:11.437Z,43,17,16,113,6-10,,,,,,,,,,
2020-08-13T19:08:43.847Z,43,17,16,116,6-10,,,,,,,,,,
2020-08-14T04:07:12.977Z,43,15,14,101,6-10,,,,,,,,,,
2020-08-14T07:09:23.630Z,43,15,14,105,6-10,,,,,,,,,,
2020-08-14T14:40:20.690Z,43,15,14,114,6-10,,,,,,,,,,
2020-08-15T17:25:39.157Z,44,15,14,111,6-10,,,,,,,,,,
2020-08-15T19:20:16.850Z,44,15,14,111,6-10,,,,,,,,,,
2020-08-16T03:40:33.850Z,44,15,14,105,1-5,,,,,,,,,,
2020-08-16T07:05:21.820Z,44,15,14,105,1-5,,,,,,,,,,
2020-08-16T15:53:14.997Z,44,15,14,108,1-5,,,,,,,,,,
2020-08-17T07:41:16.500Z,44,15,14,93,1-5,,,,,,,,,,
2020-08-17T15:51:53.560Z,45,16,15,99,1-5,,,,,,,,,,
2020-08-17T19:45:07.133Z,45,16,15,109,1-5,,,,,,,,,,
2020-08-18T03:43:43.340Z,46,17,16,99,1-5,,,,,,,,,,
2020-08-18T07:12:06.963Z,46,17,16,100,1-5,,,,,,,,,,
2020-08-18T16:09:29.920Z,49,20,19,109,6-10,,,,,,,,,,
2020-08-18T18:55:23.410Z,50,21,20,114,6-10,,,,,,,,,,
2020-08-19T04:45:32.057Z,51,22,21,76,6-10,,,,,,,,,,
2020-08-19T07:38:12.840Z,51,22,21,83,6-10,,,,,,,,,,
2020-08-19T17:09:53.377Z,52,23,22,103,6-10,,,,,,,,,,
