Date,sickCount,actualSick,patientDiffPopulationForTenThousands,testLast7Days,verifiedLast7Days,activeSick,activeSickTo1000,sickTo10000,growthLastWeek,positiveTests,score,color,governmentColor,firstDose,secondDose
2020-06-30T15:55:44.970Z,15,,,,,,,,,,,,,,
2020-06-30T19:22:25.500Z,15,,,,,,,,,,,,,,
2020-07-01T07:12:41.440Z,15,,,,,,,,,,,,,,
2020-07-01T15:31:44.303Z,15,,,,,,,,,,,,,,
2020-07-01T19:15:07.757Z,16,,,,,,,,,,,,,,
2020-07-02T07:10:28.913Z,16,,,,,,,,,,,,,,
2020-07-02T19:46:16.793Z,20,,,,,,,,,,,,,,
2020-07-03T04:40:04.850Z,23,,,,,,,,,,,,,,
2020-07-03T07:30:15.597Z,23,,,,,,,,,,,,,,
2020-07-03T15:26:50.037Z,23,,,,,,,,,,,,,,
2020-07-04T17:44:01.280Z,24,,,,,,,,,,,,,,
2020-07-04T20:14:30.987Z,25,,,,,,,,,,,,,,
2020-07-05T07:08:15.050Z,25,,,,,,,,,,,,,,
2020-07-05T16:01:04.507Z,26,,,,,,,,,,,,,,
2020-07-05T19:34:00.750Z,26,,,,,,,,,,,,,,
2020-07-06T06:40:39.527Z,27,16,,937,15,,,,,,,,,,
2020-07-06T15:56:00.557Z,28,17,,964,16,,,,,,,,,,
2020-07-07T05:00:26.417Z,28,17,,969,<15,,,,,,,,,,
2020-07-07T07:17:42.693Z,28,17,,981,<15,,,,,,,,,,
2020-07-07T15:43:32.247Z,28,17,,994,<15,,,,,,,,,,
2020-07-07T19:25:00.177Z,28,17,,999,<15,,,,,,,,,,
2020-07-08T07:31:44.197Z,30,19,,1009,<15,,,,,,,,,,
2020-07-08T15:51:46.940Z,30,19,,1027,<15,,,,,,,,,,
2020-07-08T19:34:17.600Z,31,20,,1058,15,,,,,,,,,,
2020-07-09T07:16:21.100Z,31,20,,1058,<15,,,,,,,,,,
2020-07-09T15:38:11.660Z,33,22,,1068,<15,,,,,,,,,,
2020-07-10T04:16:29.737Z,33,22,,1077,<15,,,,,,,,,,
2020-07-10T07:28:43.630Z,33,22,,1077,<15,,,,,,,,,,
2020-07-10T14:20:07.117Z,33,22,,1083,<15,,,,,,,,,,
2020-07-11T17:08:38.350Z,35,24,,1113,<15,,,,,,,,,,
2020-07-11T19:41:22.557Z,35,24,,1113,<15,,,,,,,,,,
2020-07-12T07:32:17.937Z,36,25,,1124,<15,,,,,,,,,,
2020-07-12T15:55:03.303Z,36,25,,1127,<15,,,,,,,,,,
2020-07-13T12:16:23.697Z,36,25,,1142,<15,,,,,,,,,,
2020-07-13T13:19:16.637Z,36,25,,1142,<15,,,,,,,,,,
2020-07-13T19:28:55.597Z,39,28,,1151,<15,,,,,,,,,,
2020-07-14T07:14:06.710Z,40,29,,1155,<15,,,,,,,,,,
