,Totals,,,,,,,,,,Males,,,,,,,,,,Females,,,,,,,,,
Update Time,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2020-09-26T19:01:59.350Z,0,1,7,23,61,102,190,186,117,29,0,1,4,13,45,59,142,121,66,13,0,0,3,10,16,43,48,65,51,16
2020-09-27T06:27:46.860Z,0,3,9,22,63,107,194,190,121,27,0,1,5,12,45,63,143,123,72,13,0,2,4,10,18,44,51,67,49,14
2020-09-27T13:38:11.377Z,0,3,9,25,66,112,200,194,117,28,0,1,5,14,48,67,147,126,71,12,0,2,4,11,18,45,53,68,46,16
2020-09-28T16:25:25.447Z,1,3,12,20,65,109,205,184,118,34,0,2,5,12,45,70,152,115,77,14,1,1,7,8,20,39,53,69,41,20
2020-09-28T19:29:29.173Z,1,3,12,22,66,110,206,189,117,34,0,2,5,13,45,71,153,117,76,14,1,1,7,9,21,39,53,72,41,20
2020-09-29T07:31:38.433Z,1,2,11,22,62,114,217,202,121,34,0,2,6,12,42,72,160,127,80,12,1,0,5,10,20,42,57,75,41,22
2020-09-29T15:20:10.623Z,1,2,8,20,58,109,220,203,116,30,0,2,5,11,38,68,164,126,76,11,1,0,3,9,20,41,56,77,40,19
2020-09-29T20:03:10.423Z,1,3,8,25,60,110,224,207,117,31,0,2,5,13,39,70,166,129,76,11,1,1,3,12,21,40,58,78,41,20
2020-09-30T03:41:07.500Z,1,4,9,21,59,109,220,199,116,30,0,3,5,11,39,68,163,122,76,11,1,1,4,10,20,41,57,77,40,19
2020-09-30T06:58:43.690Z,1,3,11,20,59,111,230,208,118,36,0,3,5,12,40,69,171,128,80,14,1,0,6,8,19,42,59,80,38,22
2020-09-30T15:56:55.587Z,0,4,10,20,59,104,236,210,127,38,0,3,5,12,39,66,173,132,87,16,0,1,5,8,20,38,63,78,40,22
2020-09-30T19:17:47.527Z,0,4,10,22,61,104,243,213,127,38,0,3,5,13,39,66,179,133,87,16,0,1,5,9,22,38,64,80,40,22
2020-10-01T04:23:29.923Z,0,4,10,17,61,104,237,201,128,36,0,3,5,10,40,64,172,126,86,14,0,1,5,7,21,40,65,75,42,22
2020-10-01T16:23:41.577Z,0,5,10,23,56,109,231,209,130,35,0,3,5,11,34,70,165,131,83,15,0,2,5,12,22,39,66,78,47,20
2020-10-01T18:59:49.017Z,0,5,10,23,56,109,233,209,130,36,0,3,5,11,34,70,165,131,83,15,0,2,5,12,22,39,68,78,47,21
2020-10-02T04:03:07.877Z,0,5,10,21,53,108,233,203,127,36,0,3,5,11,32,69,166,129,81,15,0,2,5,10,21,39,67,74,46,21
2020-10-02T06:38:41.127Z,0,5,11,28,58,110,242,215,127,43,0,3,5,15,36,72,170,137,83,20,0,2,6,13,22,38,72,78,44,23
2020-10-02T13:42:19.067Z,0,5,11,30,53,108,233,217,128,42,0,3,5,17,34,69,163,139,83,20,0,2,6,13,19,39,70,78,45,22
2020-10-03T15:01:48.953Z,0,3,10,29,54,108,244,206,134,42,0,3,5,16,33,74,175,131,85,20,0,0,5,13,21,34,69,75,49,22
2020-10-03T19:35:04.317Z,0,3,10,28,54,109,245,206,136,42,0,3,5,16,33,74,176,130,85,20,0,0,5,12,21,35,69,76,51,22
2020-10-04T03:23:43.410Z,0,3,10,27,52,107,241,204,136,42,0,3,5,17,32,72,172,129,85,20,0,0,5,10,20,35,69,75,51,22
2020-10-04T06:52:16.170Z,1,3,10,33,56,115,256,214,152,44,1,2,5,21,35,77,183,134,92,20,0,1,5,12,21,38,73,80,60,24
2020-10-04T15:45:12.993Z,3,3,9,28,56,116,258,200,159,50,3,2,5,20,36,78,183,127,96,21,0,1,4,8,20,38,75,73,63,29
2020-10-04T19:18:58.757Z,3,3,9,28,60,116,259,205,158,50,3,2,5,20,39,78,184,130,95,21,0,1,4,8,21,38,75,75,63,29
2020-10-05T04:36:06.167Z,2,3,10,26,54,114,249,203,159,49,2,2,6,19,35,78,180,129,95,20,0,1,4,7,19,36,69,74,64,29
2020-10-05T15:36:41.790Z,2,3,10,30,57,111,242,208,165,46,2,2,6,19,38,80,177,132,102,17,0,1,4,11,19,31,65,76,63,29
2020-10-05T19:08:42.103Z,2,3,10,30,56,112,241,207,163,47,2,2,6,19,38,81,176,133,101,17,0,1,4,11,18,31,65,74,62,30
2020-10-06T04:14:25.760Z,2,3,9,27,55,112,246,203,160,48,2,2,5,19,38,80,180,131,100,18,0,1,4,8,17,32,66,72,60,30
2020-10-06T07:12:48.303Z,2,3,9,27,55,117,256,207,160,48,2,2,5,19,40,85,186,133,97,16,0,1,4,8,15,32,70,74,63,32
2020-10-06T15:35:02.543Z,2,3,9,25,54,110,244,212,161,44,2,2,5,16,38,79,180,138,98,17,0,1,4,9,16,31,64,74,63,27
2020-10-06T19:06:32.717Z,2,3,9,26,56,111,246,210,166,43,2,2,5,17,38,80,183,137,101,16,0,1,4,9,18,31,63,73,65,27
2020-10-07T04:53:38.940Z,2,2,10,24,56,109,235,205,157,47,2,1,6,16,40,81,173,137,96,18,0,1,4,8,16,28,62,68,61,29
2020-10-07T06:31:21.220Z,2,3,11,24,57,112,239,212,164,46,2,2,6,15,39,82,176,139,101,17,0,1,5,9,18,30,63,73,63,29
2020-10-07T15:46:34.190Z,2,2,10,26,59,108,233,215,154,47,2,2,6,14,42,79,178,142,97,18,0,0,4,12,17,29,55,73,57,29
2020-10-07T19:20:37.117Z,2,2,10,26,59,110,231,215,154,45,2,2,6,14,42,81,175,142,97,17,0,0,4,12,17,29,56,73,57,28
2020-10-08T04:02:20.680Z,2,1,9,26,58,107,227,211,150,44,2,1,6,14,42,78,173,141,95,17,0,0,3,12,16,29,54,70,55,27
2020-10-08T07:33:44.060Z,0,4,11,28,58,116,236,219,151,44,0,2,7,17,41,81,182,144,97,15,0,2,4,11,17,35,54,75,54,29
2020-10-08T15:02:40.130Z,0,4,10,25,53,120,228,219,155,41,0,2,7,14,39,81,177,146,101,15,0,2,3,11,14,39,51,73,54,26
2020-10-08T19:33:27.153Z,0,5,10,25,54,120,230,218,154,41,0,2,7,14,40,81,179,145,100,15,0,3,3,11,14,39,51,73,54,26
2020-10-09T04:06:38.427Z,0,3,10,25,53,118,232,211,152,41,0,1,7,14,39,80,180,141,99,15,0,2,3,11,14,38,52,70,53,26
2020-10-09T06:43:33.320Z,0,3,10,25,48,118,228,210,158,42,0,1,7,14,34,79,177,141,101,16,0,2,3,11,14,39,51,69,57,26
2020-10-09T13:16:27.957Z,0,5,11,25,47,119,229,219,161,39,0,2,7,14,34,80,178,146,101,16,0,3,4,11,13,39,51,73,60,23
2020-10-10T15:03:40.197Z,0,3,9,32,45,122,220,213,152,43,0,1,6,17,30,84,166,150,89,17,0,2,3,15,15,38,54,63,63,26
