,5-11 active infected absolute,,,12-15 active infected absolute,,,16-19 active infected absolute,,,20-29 active infected absolute,,,30-39 active infected absolute,,,40-49 active infected absolute,,,50-59 active infected absolute,,,60-69 active infected absolute,,,70-79 active infected absolute,,,80-89 active infected absolute,,,90+ active infected absolute,,,5-11 active infected normalized,,,12-15 active infected normalized,,,16-19 active infected normalized,,,20-29 active infected normalized,,,30-39 active infected normalized,,,40-49 active infected normalized,,,50-59 active infected normalized,,,60-69 active infected normalized,,,70-79 active infected normalized,,,80-89 active infected normalized,,,90+ active infected normalized,,,5-11 serious condition absolute,,,12-15 serious condition absolute,,,16-19 serious condition absolute,,,20-29 serious condition absolute,,,30-39 serious condition absolute,,,40-49 serious condition absolute,,,50-59 serious condition absolute,,,60-69 serious condition absolute,,,70-79 serious condition absolute,,,80-89 serious condition absolute,,,90+ serious condition absolute,,,5-11 serious condition normalized,,,12-15 serious condition normalized,,,16-19 serious condition normalized,,,20-29 serious condition normalized,,,30-39 serious condition normalized,,,40-49 serious condition normalized,,,50-59 serious condition normalized,,,60-69 serious condition normalized,,,70-79 serious condition normalized,,,80-89 serious condition normalized,,,90+ serious condition normalized,,
Date,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated,Recently vaccinated,Expired vaccinated,Not vaccinated
2021-10-11T13:46:00.580Z,,,,189,0,1559,226,355,771,577,956,1371,565,988,1355,418,682,953,257,382,580,229,198,373,175,108,233,121,52,145,38,10,36,,,,57.5,0,605.9,70.5,352.6,599.3,77.7,375.3,596.2,76,437,820.4,54.2,420.8,751,39.1,378.8,664.1,37.1,361.3,603.8,39.1,366.2,551.1,61.9,286.3,704,91.7,134.2,452,,,,0,0,0,0,0,1,1,2,12,0,1,24,3,2,51,6,9,70,20,10,70,19,10,50,8,4,27,2,0,9,,,,0,0,0,0,0,0.8,0.1,0.8,5.2,0,0.4,14.5,0.4,1.2,40.2,0.9,8.9,80.1,3.2,18.2,113.3,4.2,33.9,118.3,4.1,22,131.1,4.8,0,113
2021-10-11T18:18:58.847Z,,,,189,0,1570,222,352,780,571,952,1382,568,986,1356,421,680,961,269,375,580,227,202,372,178,104,237,119,51,145,38,10,35,,,,57.5,0,611,69.2,353.5,607.8,76.9,378.3,602.8,76.4,440.1,823.1,54.6,423.1,759.1,41,375.1,665.5,36.8,372.2,603.1,39.7,355.5,561.3,60.9,283.1,705,91.7,135.3,439.8,,,,0,0,1,0,0,1,1,2,12,0,1,24,3,2,50,8,9,71,20,10,70,19,11,51,8,4,28,2,0,9,,,,0,0,0.4,0,0,0.8,0.1,0.8,5.2,0,0.4,14.6,0.4,1.2,39.5,1.2,9,81.5,3.2,18.4,113.5,4.2,37.6,120.8,4.1,22.2,136.1,4.8,0,113.1
2021-10-12T05:39:19.113Z,,,,195,0,1591,220,347,786,549,938,1374,573,986,1369,418,678,960,263,382,585,237,205,373,179,107,234,121,52,142,38,11,35,,,,59,0,619.1,68,343.5,612.9,73.2,367.7,600.5,76.5,435.3,831.9,53.9,418,759.2,39.9,379.2,672.2,38.4,374.8,605.8,39.9,362.9,555.5,61.8,286.5,692.2,91.6,148.2,440.8,,,,0,0,1,0,0,1,1,2,12,0,1,24,2,2,50,8,8,70,19,11,68,18,11,50,10,4,28,2,0,8,,,,0,0,0.4,0,0,0.8,0.1,0.8,5.2,0,0.4,14.6,0.3,1.2,39.5,1.2,7.9,80.4,3.1,20.1,110.4,4,37.3,118.7,5.1,22,136.5,4.8,0,100.7
2021-10-12T14:45:42.487Z,,,,187,0,1515,204,329,754,531,859,1323,542,910,1305,400,621,909,252,350,565,223,197,362,171,102,229,115,50,136,37,9,34,,,,56.6,0,590.5,63.1,328.2,589,70.8,338.8,579.3,72.3,404,794.4,51.6,384.9,720,38.2,349.2,650.2,36.1,362.2,588.5,38.1,347.9,544,58.7,276.8,663.5,89.2,121.7,428.4,,,,0,0,2,0,0,2,1,2,12,0,1,23,2,2,49,7,8,68,20,11,66,16,9,48,9,3,26,2,0,9,,,,0,0,0.8,0,0,1.6,0.1,0.8,5.3,0,0.4,14,0.3,1.2,38.8,1.1,8,78.2,3.2,20.2,107.3,3.6,30.7,114,4.6,16.6,126.8,4.8,0,113.4
2021-10-12T18:35:35.637Z,,,,185,0,1503,201,326,752,523,847,1313,540,897,1305,403,622,901,252,347,566,224,190,360,170,102,229,114,49,131,37,9,34,,,,56,0,586.4,62.2,327.1,588.4,69.8,335.9,575.7,72,399.8,795.5,52,387,714.5,38.2,347.6,652.1,36.3,350.5,585.6,37.9,349.1,544.2,58.2,272.1,639.4,89.2,121.8,428.5,,,,0,0,2,0,0,2,1,2,12,0,1,23,2,2,49,7,9,68,20,11,66,16,9,48,9,3,25,2,0,9,,,,0,0,0.8,0,0,1.6,0.1,0.8,5.3,0,0.4,14,0.3,1.2,38.9,1.1,9,78.3,3.2,20.3,107.4,3.6,30.8,114.1,4.6,16.7,122,4.8,0,113.4
2021-10-13T05:55:02.197Z,,,,178,0,1503,198,318,740,510,837,1292,534,892,1283,403,614,887,243,349,540,219,193,354,167,101,229,108,51,130,35,9,34,,,,53.6,0,586,60.7,313.6,579.1,67.4,326.6,566.6,70.7,392.4,782.5,51.7,377.9,703.6,36.7,346,622.7,35.4,352.8,576.2,37.2,342.9,545.8,55.1,281.3,635.5,84.2,121,429.7,,,,0,0,0,0,0,2,1,2,12,0,1,22,2,2,46,7,8,69,21,11,66,16,8,48,9,4,25,2,0,10,,,,0,0,0,0,0,1.6,0.1,0.8,5.3,0,0.4,13.4,0.3,1.2,36.5,1.1,7.9,79.6,3.4,20.1,107.4,3.6,27.2,114.4,4.6,22.1,122.2,4.8,0,126.4
2021-10-13T14:53:33.667Z,,,,168,0,1411,192,291,684,481,774,1239,511,846,1210,384,576,843,231,319,518,209,174,337,157,93,230,109,47,128,35,7,32,,,,50.6,0,550.8,58.9,289.4,536.5,63.5,304.5,544.5,67.6,374.5,739.3,49.2,356.6,669.6,34.9,318.3,598.3,33.8,320.1,549.3,34.9,318,548.8,55.6,260.9,626.4,84.1,94.6,405,,,,0,0,1,0,0,1,1,3,13,0,1,22,2,2,47,8,9,70,18,10,62,16,9,47,10,4,23,2,0,10,,,,0,0,0.4,0,0,0.8,0.1,1.2,5.7,0,0.4,13.4,0.3,1.2,37.3,1.2,9,80.8,2.9,18.4,101.1,3.6,30.8,112.1,5.1,22.2,112.6,4.8,0,126.6
2021-10-14T04:30:56.073Z,,,,165,0,1378,186,274,656,448,743,1201,490,813,1186,372,560,820,222,304,502,202,171,336,143,96,225,110,47,130,35,8,31,,,,49.5,0,538,56.5,270.9,515.3,58.5,290.4,528.8,64.3,357.8,725.9,47.4,345.2,652.3,33.4,302.1,581.1,32.6,313.2,548.2,31.8,326.6,538.8,56,260.1,637.1,84,107.6,394,,,,0,0,1,0,0,1,0,3,13,0,1,20,2,2,48,7,7,65,19,10,62,15,8,41,9,5,23,2,0,10,,,,0,0,0.4,0,0,0.8,0,1.2,5.7,0,0.4,12.2,0.3,1.2,38.2,1.1,7,75.2,3.1,18.3,101.1,3.3,27.2,98.2,4.6,27.7,112.7,4.8,0,127.1
2021-10-14T13:32:41.030Z,,,,158,0,1315,177,260,623,416,692,1132,460,766,1148,357,520,802,209,282,477,191,154,323,140,88,218,105,46,122,35,8,31,,,,47.4,0,514.2,53.8,259.5,490.3,54.4,273.2,499.5,60.3,340.1,704.3,45.5,323.2,639.1,31.4,282.5,553.1,30.8,284.3,527.5,31.1,301.8,522.6,53.5,256.2,598.3,84,108.2,394.2,,,,0,0,0,0,0,1,0,3,9,0,1,19,3,2,45,7,8,62,18,9,60,16,8,40,9,5,20,2,0,7,,,,0,0,0,0,0,0.8,0,1.2,4,0,0.4,11.7,0.4,1.2,35.9,1.1,8,71.9,2.9,16.6,98,3.6,27.4,95.9,4.6,27.8,98.1,4.8,0,89
2021-10-14T17:49:42.320Z,,,,157,0,1303,173,256,619,410,682,1125,459,763,1137,358,511,804,202,275,471,188,150,318,141,87,210,104,46,116,35,8,29,,,,47.1,0,510.2,52.5,257.6,488,53.6,271.6,497.4,60.2,341.2,698.9,45.6,319.8,641.7,30.4,277.5,546.8,30.3,278.6,519.9,31.3,299.8,503.7,53,257.4,569.2,84,108.7,369,,,,0,0,1,0,0,1,0,3,10,0,1,20,3,2,46,8,8,66,19,9,63,16,8,41,9,5,19,2,0,6,,,,0,0,0.4,0,0,0.8,0,1.2,4.4,0,0.4,12.3,0.4,1.3,36.7,1.2,8.1,76.6,3.1,16.7,103,3.6,27.6,98.3,4.6,28,93.2,4.8,0,76.3
2021-10-15T06:01:55.653Z,,,,156,0,1317,163,251,613,394,675,1104,456,761,1132,349,504,789,200,272,463,185,154,313,139,89,208,104,46,119,33,8,28,,,,46.7,0,515.7,49.4,250.2,483.1,51.2,266.7,488.7,59.6,338.1,696.5,44.3,313.6,630.1,30,272.9,538.2,29.8,284.6,512.4,30.9,305.1,499.8,52.9,256.3,585.6,79.2,108.1,357.4,,,,0,0,1,0,0,1,0,3,11,0,2,21,3,2,44,8,8,65,20,8,63,16,8,39,9,5,19,2,1,7,,,,0,0,0.4,0,0,0.8,0,1.2,4.9,0,0.9,12.9,0.4,1.2,35.1,1.2,8,75.6,3.2,14.8,103.1,3.6,27.4,93.7,4.6,27.9,93.5,4.8,13.5,89.4
2021-10-15T12:50:32.533Z,,,,152,0,1252,166,247,586,383,636,1050,434,731,1064,341,477,766,195,265,450,177,150,311,138,83,204,104,45,118,33,8,28,,,,45.5,0,490.8,50.3,247.9,462.4,49.8,253.4,465.4,56.7,327.4,655.6,43.3,299.1,612.5,29.3,267.5,523.5,28.5,278.6,509.4,30.6,285.4,490.5,52.9,251.3,581,79.2,108.4,357.6,,,,0,0,1,0,0,1,1,3,11,0,2,20,3,2,44,8,8,65,19,8,63,17,8,40,9,5,22,2,1,9,,,,0,0,0.4,0,0,0.8,0.1,1.2,4.9,0,0.9,12.3,0.4,1.3,35.2,1.2,8.1,75.6,3.1,14.9,103.2,3.8,27.5,96.2,4.6,27.9,108.3,4.8,13.5,114.9
2021-10-16T17:12:17.083Z,,,,147,0,1245,168,237,575,376,628,1008,437,701,1047,342,453,750,188,255,440,173,152,312,136,79,203,104,47,113,30,7,29,,,,43.9,0,487.7,50.9,235.1,453.5,48.9,247.3,447.1,57.2,310.5,645.3,43.5,281.6,599.9,28.2,255.4,512.6,27.9,280.1,511.2,30.2,269.8,489.2,53,261.1,557.6,72,94.5,370.8,,,,0,0,1,0,0,0,1,3,13,0,2,19,3,2,48,8,8,71,17,7,57,17,7,38,9,3,19,2,0,7,,,,0,0,0.4,0,0,0,0.1,1.2,5.8,0,0.9,11.7,0.4,1.2,38.4,1.2,8,82.7,2.7,12.9,93.4,3.8,23.9,91.6,4.6,16.7,93.8,4.8,0,89.5
2021-10-16T18:45:19.077Z,,,,147,0,1245,169,236,576,376,626,1006,440,701,1048,343,453,752,190,256,440,172,152,312,136,79,204,104,47,113,30,7,29,,,,43.9,0,488,51.2,235.1,454.6,48.9,247.6,446.5,57.6,311.4,646.3,43.6,282.6,601.8,28.5,257.2,512.8,27.7,280.6,511.4,30.2,270.2,491.7,53,261.3,557.6,72,94.5,370.9,,,,0,0,1,0,0,0,1,3,13,0,2,19,3,2,48,8,8,71,17,7,57,17,7,38,9,3,19,2,0,7,,,,0,0,0.4,0,0,0,0.1,1.2,5.8,0,0.9,11.7,0.4,1.2,38.4,1.2,8,82.8,2.7,12.9,93.4,3.8,23.9,91.6,4.6,16.7,93.8,4.8,0,89.5
2021-10-17T05:46:53.217Z,,,,143,0,1241,162,236,570,357,626,996,432,706,1025,344,456,740,183,248,438,161,153,298,130,81,203,103,45,114,30,7,28,,,,42.5,0,485.9,48.7,234.4,449.5,46,246.6,442.3,56.1,312.4,632.3,43.5,283.6,592.2,27.4,248.5,510.9,25.9,281.9,488.7,28.8,276.6,490.5,52.4,249.7,563.6,71.9,94.4,359,,,,0,0,1,0,0,0,1,3,13,0,2,18,3,2,49,8,8,73,17,7,58,17,9,37,10,4,18,2,1,8,,,,0,0,0.4,0,0,0,0.1,1.2,5.8,0,0.9,11.1,0.4,1.2,39.2,1.2,8,85.1,2.7,12.9,95.1,3.8,30.7,89.4,5.1,22.2,89,4.8,13.5,102.6
