Date,Valid vaccinated pop. perc.,Expired vaccinated pop. perc.,Not vaccinated pop. perc.,Vaccinated (daily),Vaccinated (cumu),Vaccinated pop. perc.,Second dose (daily),Second dose (cumu),Second dose pop. perc.,Third dose (daily),Third dose (cumu),Third dose pop. perc.,Fourth dose (daily),Fourth dose (cumu),Fourth dose pop. perc.
2020-12-19,0,0,100,46,66,0,0,4,0,0,0,0,0,0,0
2020-12-20,0,0,100,7390,7456,0.08,0,4,0,0,0,0,0,0,0
2020-12-21,0,0,100,24917,32373,0.35,0,4,0,0,0,0,0,0,0
2020-12-22,0,0,100,44653,77026,0.83,0,4,0,0,0,0,0,0,0
2020-12-23,0,0,100,62902,139928,1.5,0,4,0,0,0,0,0,0,0
2020-12-24,0,0,100,73412,213340,2.29,0,4,0,0,0,0,0,0,0
2020-12-25,0,0,100,38505,251845,2.71,0,4,0,0,0,0,0,0,0
2020-12-26,0,0,100,32609,284454,3.06,0,4,0,0,0,0,0,0,0
2020-12-27,0,0,100,104544,388998,4.18,0,4,0,0,0,0,0,0,0
2020-12-28,0,0,100,134992,523990,5.63,0,4,0,0,0,0,0,0,0
2020-12-29,0,0,100,156262,680252,7.32,2,6,0,0,0,0,0,0,0
2020-12-30,0,0,100,153110,833362,8.96,0,6,0,0,0,0,0,0,0
2020-12-31,0,0,100,158514,991876,10.67,0,6,0,0,0,0,0,0,0
2021-01-01,0,0,100,71403,1063279,11.43,0,6,0,0,0,0,0,0,0
2021-01-02,0,0,100,71710,1134989,12.21,0,6,0,0,0,0,0,0,0
2021-01-03,0,0,100,149700,1284689,13.81,0,6,0,0,0,0,0,0,0
2021-01-04,0,0,100,152145,1436834,15.45,1,7,0,0,0,0,0,0,0
2021-01-05,0,0,100,125144,1561978,16.8,3,10,0,0,0,0,0,0,0
2021-01-06,0,0,100,103296,1665274,17.91,2,12,0,0,0,0,0,0,0
2021-01-07,0,0,100,115994,1781268,19.15,7,19,0,0,0,0,0,0,0
2021-01-08,0,0,100,66423,1847691,19.87,4,23,0,0,0,0,0,0,0
2021-01-09,0,0,100,44518,1892209,20.35,24,47,0,0,0,0,0,0,0
2021-01-10,0,0,100,37629,1929838,20.75,5997,6044,0.07,0,0,0,0,0,0
2021-01-11,0,0,100,21147,1950985,20.98,19259,25303,0.27,0,0,0,0,0,0
2021-01-12,0,0,100,24044,1975029,21.24,35666,60969,0.66,0,0,0,0,0,0
2021-01-13,0,0,100,52035,2027064,21.8,56863,117832,1.27,0,0,0,0,0,0
2021-01-14,0,0,100,56427,2083491,22.4,68826,186658,2.01,0,0,0,0,0,0
2021-01-15,0,0,100,30743,2114234,22.74,35927,222585,2.39,0,0,0,0,0,0
2021-01-16,0,0,100,29454,2143688,23.05,26004,248589,2.67,0,0,0,0,0,0
2021-01-17,0.36,0,99.64,68408,2212096,23.79,84581,333170,3.58,0,0,0,0,0,0
2021-01-18,0.64,0,99.36,69765,2281861,24.54,120404,453574,4.88,0,0,0,0,0,0
2021-01-19,1.16,0,98.84,72848,2354709,25.32,137808,591382,6.36,0,0,0,0,0,0
2021-01-20,1.98,0,98.02,76857,2431566,26.15,143718,735100,7.9,0,0,0,0,0,0
2021-01-21,2.98,0,97.02,69960,2501526,26.9,164397,899497,9.67,0,0,0,0,0,0
2021-01-22,3.5,0,96.5,37893,2539419,27.31,71110,970607,10.44,0,0,0,0,0,0
2021-01-23,3.89,0,96.11,39949,2579368,27.74,53569,1024176,11.01,0,0,0,0,0,0
2021-01-24,5.1,0,94.9,69097,2648465,28.48,140665,1164841,12.53,0,0,0,0,0,0
2021-01-25,6.78,0,93.22,80895,2729360,29.35,139482,1304323,14.03,0,0,0,0,0,0
2021-01-26,8.65,0,91.35,78684,2808044,30.2,126388,1430711,15.39,0,0,0,0,0,0
2021-01-27,10.56,0,89.44,77930,2885974,31.03,125020,1555731,16.73,0,0,0,0,0,0
2021-01-28,12.69,0,87.31,79532,2965506,31.89,130576,1686307,18.13,0,0,0,0,0,0
2021-01-29,13.61,0,86.39,36667,3002173,32.28,64767,1751074,18.83,0,0,0,0,0,0
2021-01-30,14.3,0,85.7,34383,3036556,32.65,42748,1793822,19.29,0,0,0,0,0,0
2021-01-31,16.07,0,83.93,73310,3109866,33.44,59482,1853304,19.93,0,0,0,0,0,0
2021-02-01,17.81,0,82.19,82468,3192334,34.33,35329,1888633,20.31,0,0,0,0,0,0
2021-02-02,19.35,0,80.65,70059,3262393,35.08,31051,1919684,20.64,0,0,0,0,0,0
2021-02-03,20.84,0,79.16,60273,3322666,35.73,51412,1971096,21.2,0,0,0,0,0,0
2021-02-04,22.39,0,77.61,72595,3395261,36.51,58066,2029162,21.82,0,0,0,0,0,0
2021-02-05,23.15,0,76.85,33910,3429171,36.88,28782,2057944,22.13,0,0,0,0,0,0
2021-02-06,23.64,0,76.36,21600,3450771,37.11,22221,2080165,22.37,0,0,0,0,0,0
2021-02-07,24.4,0,75.6,54064,3504835,37.69,68712,2148877,23.11,0,0,0,0,0,0
2021-02-08,24.95,0,75.05,58612,3563447,38.32,65439,2214316,23.81,0,0,0,0,0,0
2021-02-09,25.48,0,74.52,66313,3629760,39.03,67541,2281857,24.54,0,0,0,0,0,0
2021-02-10,26.23,0,73.77,70530,3700290,39.79,72273,2354130,25.32,0,0,0,0,0,0
2021-02-11,27.08,0,72.92,81138,3781428,40.66,72074,2426204,26.09,0,0,0,0,0,0
2021-02-12,27.5,0,72.5,39079,3820507,41.08,37568,2463772,26.49,0,0,0,0,0,0
2021-02-13,27.82,0,72.18,27449,3847956,41.38,30423,2494195,26.82,0,0,0,0,0,0
2021-02-14,28.76,0,71.24,74884,3922840,42.18,69056,2563251,27.56,0,0,0,0,0,0
2021-02-15,29.69,0,70.31,81511,4004351,43.06,75675,2638926,28.38,0,0,0,0,0,0
2021-02-16,30.64,0,69.36,83394,4087745,43.96,78256,2717182,29.22,0,0,0,0,0,0
2021-02-17,31.56,0,68.44,61954,4149699,44.62,75600,2792782,30.03,0,0,0,0,0,0
2021-02-18,32.51,0,67.49,69129,4218828,45.37,79712,2872494,30.89,0,0,0,0,0,0
2021-02-19,33.02,0,66.98,39647,4258475,45.79,38129,2910623,31.3,0,0,0,0,0,0
2021-02-20,33.43,0,66.57,31643,4290118,46.13,28716,2939339,31.61,0,0,0,0,0,0
2021-02-21,34.39,0,65.61,79411,4369529,46.99,78422,3017761,32.45,0,0,0,0,0,0
2021-02-22,35.44,0,64.56,85034,4454563,47.9,80575,3098336,33.32,0,0,0,0,0,0
2021-02-23,36.47,0,63.53,77307,4531870,48.73,70453,3168789,34.08,0,0,0,0,0,0
2021-02-24,37.4,0,62.6,61037,4592907,49.39,63107,3231896,34.75,0,0,0,0,0,0
