,All ages - Daily verified,,,All ages - Total serious,,,All ages - New serious,,,All ages - Total deaths,,,Above 60 - Daily verified,,,Above 60 - Total serious,,,Above 60 - New serious,,,Above 60 - Total deaths,,,Below 60 - Daily verified,,,Below 60 - Total serious,,,Below 60 - New serious,,,Below 60 - Total deaths,,
Date,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated,Booster vaccinated,Fully vaccinated,Not vaccinated
2021-01-20T00:00:00.000Z,0,14.3,78.5,0,2.5,8.3,0,0.8,1,0,0,0.4,0,11.9,22.3,0,1.3,36.7,0,1.3,4.2,0,0,2.3,0,18.8,88.5,0,4.7,2.9,0,0,0.4,0,0,0
2021-01-21T00:00:00.000Z,0,13.3,69.3,0,3.2,8.2,0,1.6,1.1,0,0,0.3,0,7.8,21.1,0,2.3,36.4,0,1.6,4,0,0,2.1,0,25.2,77.5,0,5,3,0,1.7,0.5,0,0,0
2021-01-22T00:00:00.000Z,0,11.6,70.3,0,3.1,8.1,0,0.4,0.9,0,0,0.4,0,10.8,18.4,0,2.6,36,0,0.6,3.6,0,0,2.7,0,12,79.2,0,4.5,3,0,0,0.4,0,0,0
2021-01-23T00:00:00.000Z,0,4.8,22.5,0,3.2,8.2,0,0.8,0.8,0,0,0.3,0,3.9,9.1,0,2.8,36.4,0,1.1,3.3,0,0,1.9,0,7.1,24.6,0,4.2,3.2,0,0,0.4,0,0,0.1
2021-01-24T00:00:00.000Z,0,8.7,46.3,0,2.7,8.4,0,0.9,1.1,0,0.9,0.4,0,8.7,15.1,0,2.1,38.1,0,0.8,4.1,0,1.2,2.4,0,8.6,51.1,0,4.3,3.3,0,1.1,0.5,0,0,0.1
2021-01-25T00:00:00.000Z,0,15.8,84.9,0,1.8,8.2,0,0.2,1.3,0,0.2,0.4,0,15.2,26.9,0,1.2,40,0,0.3,6,0,0.3,2.9,0,17.5,93.6,0,3,3.1,0,0,0.5,0,0,0.1
2021-01-26T00:00:00.000Z,0,16,77,0,1.5,8.5,0,0.5,1.2,0,0.3,0.4,0,15.7,27,0,1.5,42.7,0,0.7,4.6,0,0.2,2.3,0,16.8,83.7,0,1.7,3.5,0,0,0.7,0,0.6,0.1
2021-01-27T00:00:00.000Z,0,15.8,76.5,0,1.5,8.6,0,0.3,1.1,0,0.1,0.4,0,14.8,25.8,0,1.4,45.6,0,0.2,5.2,0,0.2,3,0,18,82.2,0,1.7,3.6,0,0.4,0.5,0,0,0
2021-01-28T00:00:00.000Z,0,19.2,71.2,0,1.6,9,0,0.6,1.2,0,0.3,0.3,0,20,29.6,0,1.7,50.7,0,0.7,5.9,0,0.3,2.9,0,17.7,75.8,0,1.3,3.8,0,0.3,0.6,0,0.3,0
2021-01-29T00:00:00.000Z,0,13.5,68.1,0,1.8,8.9,0,0.6,1,0,0.1,0.4,0,14.4,23.1,0,2.1,50.6,0,0.9,5.1,0,0.2,2.9,0,11.9,73,0,1.2,3.8,0,0,0.5,0,0,0.1
2021-01-30T00:00:00.000Z,0,3.7,26.4,0,2.6,8.9,0,1.1,0.8,0,0.3,0.2,0,3.9,13.3,0,3.3,52.1,0,1.5,3.9,0,0.5,1.4,0,3.3,27.7,0,1.4,3.8,0,0.3,0.4,0,0,0.1
2021-01-31T00:00:00.000Z,0,8.8,51.6,0,2.8,9.1,0,0.7,1.1,0,1,0.3,0,8,19.8,0,3.8,55,0,1.1,5.7,0,1.6,2.8,0,10.2,54.8,0,1.2,4.1,0,0,0.6,0,0,0
2021-02-01T00:00:00.000Z,0,16.6,92.5,0,3.3,9.2,0,1.1,1.2,0,0.3,0.3,0,16.1,39.2,0,4.6,61.5,0,1.6,9.4,0,0.5,2.6,0,17,97.4,0,1.2,3.8,0,0.2,0.4,0,0,0
2021-02-02T00:00:00.000Z,0,15.8,84.3,0,3.5,9,0,1,1.1,0,0.6,0.4,0,15.4,42.7,0,5,63,0,1.5,6.5,0,0.9,4.3,0,16.3,87.7,0,1.2,3.9,0,0.4,0.6,0,0,0.1
